============ Start of Season ============
1990-12-21 | w: NJN | L: CLE
1990-12-21 | w: POR | L: LAC
1990-12-21 | w: DET | L: ATL
1990-12-21 | w: PHL | L: MIA
1990-12-21 | w: IND | L: CHH
1990-12-21 | w: DAL | L: MIL
1990-12-21 | w: WAS | L: NYK
1990-12-22 | w: GOS | L: MIN
1990-12-22 | w: NYK | L: NJN
1990-12-22 | w: SEA | L: SAC
1990-12-22 | w: HOU | L: PHX
1990-12-22 | w: CHI | L: IND
1990-12-22 | w: WAS | L: CLE
1990-12-22 | w: MIL | L: SAN
1990-12-22 | w: DAL | L: DEN
1990-12-22 | w: UTH | L: ORL
1990-12-22 | w: PHL | L: DET
1990-12-23 | w: LAL | L: MIN
1990-12-23 | w: BOS | L: ATL
1990-12-23 | w: LAC | L: SAC
1990-12-23 | w: MIA | L: UTH
1990-12-23 | w: POR | L: DEN
1990-12-25 | w: CHI | L: DET
1990-12-26 | w: SAN | L: MIA
1990-12-26 | w: POR | L: NYK
1990-12-26 | w: PHX | L: DAL
1990-12-26 | w: BOS | L: IND
1990-12-26 | w: ATL | L: NJN
1990-12-26 | w: SEA | L: CLE
1990-12-26 | w: LAL | L: LAC
1990-12-26 | w: ORL | L: HOU
1990-12-26 | w: DET | L: CHH
1990-12-26 | w: MIL | L: GOS
1990-12-26 | w: DEN | L: SAC
1990-12-26 | w: PHL | L: WAS
1990-12-27 | w: CHI | L: GOS
1990-12-27 | w: UTH | L: DAL
1990-12-27 | w: MIA | L: DEN
1990-12-27 | w: POR | L: CHH
1990-12-27 | w: SEA | L: WAS
1990-12-28 | w: SAN | L: SAC
1990-12-28 | w: PHX | L: PHL
1990-12-28 | w: HOU | L: NJN
1990-12-28 | w: ATL | L: BOS
1990-12-28 | w: DET | L: MIN
1990-12-29 | w: ATL | L: GOS
1990-12-29 | w: MIL | L: NYK
1990-12-29 | w: DET | L: HOU
1990-12-29 | w: WAS | L: DEN
1990-12-29 | w: CHI | L: SEA
1990-12-29 | w: PHX | L: MIA
1990-12-29 | w: POR | L: CLE
1990-12-29 | w: UTH | L: LAC
1990-12-29 | w: IND | L: NJN
1990-12-29 | w: DAL | L: SAC
1990-12-29 | w: CHH | L: ORL
1990-12-30 | w: LAL | L: PHL
1990-12-30 | w: ORL | L: DEN
1990-12-30 | w: MIA | L: LAC
1990-12-30 | w: MIL | L: POR
1990-12-30 | w: MIN | L: SEA
1991-01-02 | w: MIL | L: CHH
1991-01-02 | w: BOS | L: NYK
1991-01-02 | w: PHX | L: CLE
1991-01-02 | w: DET | L: DEN
1991-01-02 | w: UTH | L: MIA
1991-01-02 | w: IND | L: SAN
1991-01-02 | w: ATL | L: LAC
1991-01-02 | w: MIN | L: DAL
1991-01-02 | w: SEA | L: PHL
1991-01-03 | w: NYK | L: DEN
1991-01-03 | w: HOU | L: CHI
1991-01-03 | w: ORL | L: LAC
1991-01-03 | w: LAL | L: POR
1991-01-03 | w: MIL | L: DAL
1991-01-03 | w: SAC | L: GOS
1991-01-03 | w: WAS | L: CHH
1991-01-04 | w: GOS | L: LAL
1991-01-04 | w: BOS | L: PHX
1991-01-04 | w: SAN | L: NJN
1991-01-04 | w: DET | L: CLE
1991-01-04 | w: UTH | L: PHL
1991-01-04 | w: ATL | L: IND
1991-01-04 | w: WAS | L: MIN
1991-01-04 | w: SEA | L: MIA
1991-01-05 | w: DET | L: NJN
1991-01-05 | w: HOU | L: IND
1991-01-05 | w: CHI | L: CLE
1991-01-05 | w: MIL | L: PHX
1991-01-05 | w: POR | L: MIA
1991-01-05 | w: UTH | L: SAC
1991-01-05 | w: SAN | L: ORL
1991-01-05 | w: CHH | L: LAC
1991-01-05 | w: ATL | L: MIN
1991-01-05 | w: PHL | L: DEN
1991-01-06 | w: LAL | L: GOS
1991-01-06 | w: NYK | L: LAC
1991-01-06 | w: BOS | L: DAL
1991-01-06 | w: POR | L: SEA
1991-01-07 | w: SAN | L: PHL
1991-01-07 | w: DAL | L: NJN
1991-01-07 | w: ORL | L: SAC
1991-01-07 | w: PHX | L: MIN
1991-01-08 | w: GOS | L: DEN
1991-01-08 | w: CHI | L: NJN
1991-01-08 | w: BOS | L: NYK
1991-01-08 | w: POR | L: HOU
1991-01-08 | w: MIA | L: SAC
1991-01-08 | w: UTH | L: CLE
1991-01-08 | w: LAC | L: IND
1991-01-08 | w: ATL | L: SAN
1991-01-08 | w: MIL | L: WAS
1991-01-08 | w: DET | L: CHH
1991-01-08 | w: SEA | L: LAL
1991-01-09 | w: CHI | L: PHL
1991-01-09 | w: LAL | L: UTH
1991-01-09 | w: BOS | L: MIL
1991-01-09 | w: PHX | L: CLE
1991-01-09 | w: MIN | L: ORL
1991-01-09 | w: DAL | L: POR
1991-01-10 | w: SAN | L: ORL
1991-01-10 | w: IND | L: NYK
1991-01-10 | w: HOU | L: DEN
1991-01-10 | w: CHH | L: SAC
1991-01-10 | w: GOS | L: SEA
1991-01-10 | w: WAS | L: LAC
1991-01-11 | w: LAL | L: CLE
1991-01-11 | w: CHI | L: ATL
1991-01-11 | w: PHX | L: HOU
1991-01-11 | w: BOS | L: LAC
1991-01-11 | w: DET | L: POR
1991-01-11 | w: MIN | L: MIA
1991-01-11 | w: PHL | L: MIL
1991-01-11 | w: UTH | L: DAL
1991-01-12 | w: PHX | L: GOS
1991-01-12 | w: NYK | L: ATL
1991-01-12 | w: WAS | L: BOS
1991-01-12 | w: SAC | L: SEA
1991-01-12 | w: SAN | L: UTH
1991-01-12 | w: IND | L: MIL
1991-01-12 | w: DEN | L: CLE
1991-01-12 | w: ORL | L: DAL
1991-01-12 | w: CHI | L: CHH
1991-01-12 | w: DET | L: MIA
1991-01-12 | w: PHL | L: NJN
1991-01-13 | w: LAL | L: HOU
1991-01-13 | w: POR | L: NJN
1991-01-14 | w: CHI | L: MIL
1991-01-14 | w: LAC | L: HOU
1991-01-14 | w: ATL | L: NYK
1991-01-14 | w: DET | L: DAL
1991-01-15 | w: LAL | L: CHH
1991-01-15 | w: PHX | L: WAS
1991-01-15 | w: GOS | L: NJN
1991-01-15 | w: MIA | L: ORL
1991-01-15 | w: UTH | L: SAN
1991-01-15 | w: ATL | L: IND
1991-01-15 | w: POR | L: MIN
1991-01-15 | w: SEA | L: DEN
1991-01-16 | w: SAN | L: DAL
1991-01-16 | w: MIN | L: NYK
1991-01-16 | w: GOS | L: BOS
1991-01-16 | w: CLE | L: MIA
1991-01-16 | w: CHI | L: ORL
1991-01-16 | w: WAS | L: LAC
1991-01-16 | w: MIL | L: IND
1991-01-16 | w: DEN | L: CHH
1991-01-17 | w: DET | L: HOU
1991-01-17 | w: LAL | L: SAC
1991-01-18 | w: GOS | L: PHL
1991-01-18 | w: CHH | L: SAN
1991-01-18 | w: LAL | L: SEA
1991-01-18 | w: PHX | L: DET
1991-01-18 | w: NJN | L: BOS
1991-01-18 | w: UTH | L: CLE
1991-01-18 | w: MIA | L: NYK
1991-01-18 | w: POR | L: WAS
1991-01-18 | w: ATL | L: CHI
1991-01-18 | w: MIL | L: ORL
1991-01-18 | w: LAC | L: DAL
1991-01-19 | w: ATL | L: NJN
1991-01-19 | w: SEA | L: WAS
1991-01-19 | w: HOU | L: LAC
1991-01-19 | w: SAC | L: PHX
1991-01-19 | w: IND | L: UTH
1991-01-19 | w: SAN | L: DEN
1991-01-19 | w: DAL | L: CHH
1991-01-19 | w: MIN | L: GOS
1991-01-19 | w: NYK | L: PHL
1991-01-20 | w: POR | L: MIL
1991-01-21 | w: NYK | L: PHL
1991-01-21 | w: DET | L: BOS
1991-01-21 | w: CHI | L: MIA
1991-01-21 | w: LAL | L: IND
1991-01-21 | w: SAC | L: HOU
1991-01-21 | w: DEN | L: MIN
1991-01-21 | w: WAS | L: ORL
1991-01-22 | w: GOS | L: HOU
1991-01-22 | w: SAN | L: LAC
1991-01-22 | w: LAL | L: ORL
1991-01-22 | w: POR | L: PHX
1991-01-22 | w: ATL | L: MIA
1991-01-22 | w: NJN | L: CHH
1991-01-22 | w: SEA | L: MIL
1991-01-23 | w: IND | L: PHL
1991-01-23 | w: BOS | L: DET
1991-01-23 | w: NJN | L: CHI
