============ Start of Season ============
2000-12-09 | w: PHI | L: VAN
2000-12-10 | w: DAL | L: NJN
2000-12-10 | w: LAL | L: DET
2000-12-10 | w: SAC | L: MIA
2000-12-10 | w: PHX | L: TOR
2000-12-10 | w: BOS | L: DEN
2000-12-11 | w: SAS | L: UTA
2000-12-11 | w: MIN | L: PHI
2000-12-11 | w: PHX | L: CHI
2000-12-11 | w: HOU | L: VAN
2000-12-11 | w: LAC | L: ORL
2000-12-12 | w: NJN | L: MIN
2000-12-12 | w: MIA | L: DEN
2000-12-12 | w: MIL | L: LAL
2000-12-12 | w: SEA | L: ORL
2000-12-12 | w: TOR | L: IND
2000-12-12 | w: ATL | L: SAC
2000-12-12 | w: CLE | L: DAL
2000-12-12 | w: POR | L: GSW
2000-12-13 | w: IND | L: DAL
2000-12-13 | w: MIL | L: UTA
2000-12-13 | w: POR | L: LAL
2000-12-13 | w: DET | L: ATL
2000-12-13 | w: PHX | L: SAS
2000-12-13 | w: CHI | L: BOS
2000-12-13 | w: SEA | L: VAN
2000-12-13 | w: CHH | L: SAC
2000-12-13 | w: MIA | L: LAC
2000-12-13 | w: PHI | L: WAS
2000-12-14 | w: DEN | L: SAS
2000-12-14 | w: TOR | L: NYK
2000-12-14 | w: HOU | L: GSW
2000-12-15 | w: CLE | L: IND
2000-12-15 | w: DAL | L: PHI
2000-12-15 | w: UTA | L: NYK
2000-12-15 | w: LAL | L: VAN
2000-12-15 | w: ATL | L: CHI
2000-12-15 | w: POR | L: ORL
2000-12-15 | w: MIL | L: TOR
2000-12-15 | w: SEA | L: MIA
2000-12-15 | w: MIN | L: DET
2000-12-15 | w: LAC | L: PHX
2000-12-15 | w: SAC | L: BOS
2000-12-15 | w: CHH | L: WAS
2000-12-16 | w: DEN | L: HOU
2000-12-16 | w: SAS | L: PHX
2000-12-16 | w: PHI | L: CHI
2000-12-16 | w: MIN | L: IND
2000-12-16 | w: CLE | L: UTA
2000-12-16 | w: NJN | L: ATL
2000-12-16 | w: CHH | L: BOS
2000-12-16 | w: MIA | L: GSW
2000-12-17 | w: SAC | L: NJN
2000-12-17 | w: NYK | L: MIL
2000-12-17 | w: LAL | L: TOR
2000-12-17 | w: DAL | L: DET
2000-12-17 | w: ORL | L: VAN
2000-12-17 | w: WAS | L: LAC
2000-12-18 | w: DAL | L: BOS
2000-12-19 | w: SAS | L: HOU
2000-12-19 | w: LAL | L: MIA
2000-12-19 | w: IND | L: CHI
2000-12-19 | w: SAC | L: WAS
2000-12-19 | w: DET | L: PHX
2000-12-19 | w: TOR | L: UTA
2000-12-19 | w: ATL | L: NYK
2000-12-19 | w: GSW | L: MIN
2000-12-20 | w: TOR | L: IND
2000-12-20 | w: SAS | L: CLE
2000-12-20 | w: DEN | L: DET
2000-12-20 | w: DAL | L: POR
2000-12-20 | w: UTA | L: PHI
2000-12-20 | w: SEA | L: SAC
2000-12-20 | w: CHH | L: MIA
2000-12-20 | w: VAN | L: WAS
2000-12-20 | w: BOS | L: NJN
2000-12-20 | w: LAC | L: MIN
2000-12-21 | w: LAL | L: HOU
2000-12-21 | w: BOS | L: NYK
2000-12-21 | w: MIL | L: NJN
2000-12-21 | w: ORL | L: CHI
2000-12-22 | w: UTA | L: IND
2000-12-22 | w: SAS | L: GSW
2000-12-22 | w: DEN | L: POR
2000-12-22 | w: LAL | L: DAL
2000-12-22 | w: NYK | L: PHI
2000-12-22 | w: MIA | L: CLE
2000-12-22 | w: SEA | L: WAS
2000-12-22 | w: CHH | L: MIN
2000-12-22 | w: ATL | L: TOR
2000-12-22 | w: SAC | L: VAN
2000-12-23 | w: MIA | L: NJN
2000-12-23 | w: GSW | L: HOU
2000-12-23 | w: POR | L: WAS
2000-12-23 | w: MIL | L: BOS
2000-12-23 | w: SAC | L: SEA
2000-12-23 | w: PHX | L: DEN
2000-12-23 | w: ORL | L: CLE
2000-12-23 | w: UTA | L: MIN
2000-12-23 | w: DET | L: CHI
2000-12-23 | w: ATL | L: IND
2000-12-23 | w: CHH | L: SAS
2000-12-23 | w: LAC | L: VAN
2000-12-25 | w: IND | L: ORL
2000-12-25 | w: POR | L: LAL
2000-12-26 | w: ATL | L: NJN
2000-12-26 | w: SAS | L: HOU
2000-12-26 | w: DEN | L: LAC
2000-12-26 | w: PHI | L: UTA
2000-12-26 | w: DAL | L: SEA
2000-12-26 | w: MIL | L: ORL
2000-12-26 | w: MIN | L: TOR
2000-12-26 | w: DET | L: BOS
2000-12-26 | w: PHX | L: VAN
2000-12-26 | w: CHH | L: CLE
2000-12-27 | w: SEA | L: HOU
2000-12-27 | w: MIA | L: IND
2000-12-27 | w: PHI | L: GSW
2000-12-27 | w: NYK | L: WAS
2000-12-28 | w: BOS | L: NJN
2000-12-28 | w: TOR | L: DEN
2000-12-28 | w: DAL | L: LAC
2000-12-28 | w: POR | L: UTA
2000-12-28 | w: CHI | L: SAS
2000-12-28 | w: SAC | L: CHH
2000-12-28 | w: MIN | L: ATL
2000-12-28 | w: LAL | L: PHX
2000-12-28 | w: ORL | L: DET
2000-12-28 | w: MIL | L: CLE
2000-12-29 | w: NYK | L: CHI
2000-12-29 | w: POR | L: VAN
2000-12-29 | w: MIA | L: WAS
2000-12-29 | w: CLE | L: ATL
2000-12-29 | w: GSW | L: UTA
2000-12-30 | w: SAS | L: IND
2000-12-30 | w: DEN | L: MIL
2000-12-30 | w: HOU | L: DAL
2000-12-30 | w: SEA | L: CHH
2000-12-30 | w: PHI | L: SAC
2000-12-30 | w: NYK | L: MIN
2000-12-30 | w: MIA | L: DET
2000-12-30 | w: PHX | L: TOR
2000-12-30 | w: ORL | L: BOS
2000-12-30 | w: GSW | L: VAN
2000-12-30 | w: LAL | L: LAC
2000-12-31 | w: CHI | L: NJN
2000-12-31 | w: WAS | L: DET
2001-01-01 | w: POR | L: CHH
2001-01-01 | w: MIN | L: HOU
2001-01-02 | w: SAS | L: MIA
2001-01-02 | w: MIL | L: CHI
2001-01-02 | w: SAC | L: PHX
2001-01-02 | w: IND | L: SEA
2001-01-02 | w: NJN | L: ORL
2001-01-02 | w: ATL | L: BOS
2001-01-02 | w: HOU | L: CLE
2001-01-02 | w: LAC | L: TOR
2001-01-02 | w: WAS | L: MIN
2001-01-03 | w: DET | L: DAL
2001-01-03 | w: PHI | L: ATL
2001-01-03 | w: LAL | L: UTA
2001-01-03 | w: POR | L: IND
2001-01-03 | w: MIL | L: CLE
2001-01-03 | w: PHX | L: LAC
2001-01-03 | w: NYK | L: BOS
2001-01-03 | w: VAN | L: CHH
2001-01-03 | w: DEN | L: GSW
2001-01-04 | w: HOU | L: DET
2001-01-04 | w: NYK | L: ORL
2001-01-04 | w: MIA | L: NJN
2001-01-04 | w: CHI | L: WAS
2001-01-04 | w: MIN | L: SEA
2001-01-05 | w: DEN | L: UTA
2001-01-05 | w: POR | L: MIL
2001-01-05 | w: PHI | L: SEA
2001-01-05 | w: IND | L: SAC
2001-01-05 | w: PHX | L: VAN
2001-01-05 | w: DAL | L: TOR
2001-01-05 | w: GSW | L: BOS
2001-01-05 | w: CHH | L: LAC
2001-01-06 | w: NJN | L: GSW
2001-01-06 | w: UTA | L: HOU
2001-01-06 | w: SAS | L: DET
2001-01-06 | w: MIA | L: BOS
2001-01-06 | w: ATL | L: ORL
2001-01-06 | w: PHI | L: CLE
2001-01-06 | w: DAL | L: WAS
2001-01-07 | w: DEN | L: CHH
2001-01-07 | w: LAC | L: LAL
2001-01-07 | w: NYK | L: WAS
2001-01-07 | w: MIN | L: PHX
2001-01-07 | w: TOR | L: SEA
2001-01-07 | w: VAN | L: MIL
2001-01-08 | w: MIA | L: GSW
2001-01-08 | w: DAL | L: CHI
2001-01-08 | w: SAC | L: MIN
2001-01-08 | w: POR | L: BOS
2001-01-08 | w: CLE | L: NJN
2001-01-08 | w: IND | L: LAC
2001-01-09 | w: PHI | L: NJN
2001-01-09 | w: UTA | L: IND
2001-01-09 | w: MIL | L: WAS
2001-01-09 | w: SAS | L: ORL
2001-01-09 | w: HOU | L: TOR
2001-01-09 | w: SEA | L: ATL
2001-01-09 | w: CHH | L: CHI
2001-01-09 | w: DEN | L: VAN
2001-01-10 | w: POR | L: PHI
2001-01-10 | w: SAC | L: CLE
2001-01-10 | w: DAL | L: MIN
2001-01-10 | w: TOR | L: DET
2001-01-10 | w: BOS | L: MIA
2001-01-10 | w: LAC | L: DEN
2001-01-10 | w: SEA | L: WAS
2001-01-11 | w: ORL | L: NJN
2001-01-11 | w: HOU | L: NYK
2001-01-11 | w: MIL | L: DAL
2001-01-11 | w: PHX | L: IND
2001-01-11 | w: ATL | L: GSW
2001-01-11 | w: POR | L: CHH
2001-01-12 | w: DEN | L: SAC
2001-01-12 | w: LAL | L: CLE
2001-01-12 | w: CHH | L: CHI
2001-01-12 | w: SEA | L: VAN
2001-01-12 | w: MIN | L: LAC
2001-01-12 | w: SAS | L: DET
2001-01-12 | w: TOR | L: BOS
2001-01-12 | w: PHI | L: WAS
2001-01-13 | w: IND | L: MIA
2001-01-13 | w: SAC | L: HOU
2001-01-13 | w: UTA | L: LAL
2001-01-13 | w: PHX | L: DAL
2001-01-13 | w: NYK | L: POR
2001-01-13 | w: PHI | L: SAS
2001-01-13 | w: MIL | L: NJN
2001-01-13 | w: ORL | L: GSW
2001-01-13 | w: ATL | L: LAC
2001-01-13 | w: VAN | L: CLE
2001-01-14 | w: MIA | L: CHI
2001-01-14 | w: SEA | L: PHX
2001-01-14 | w: POR | L: DET
2001-01-14 | w: TOR | L: CHH
2001-01-15 | w: IND | L: LAC
2001-01-15 | w: DEN | L: SEA
2001-01-15 | w: UTA | L: HOU
2001-01-15 | w: SAC | L: DAL
2001-01-15 | w: PHI | L: CHH
2001-01-15 | w: NYK | L: SAS
2001-01-15 | w: LAL | L: VAN
2001-01-15 | w: ORL | L: CHI
2001-01-15 | w: BOS | L: MIN
2001-01-15 | w: NJN | L: ATL
2001-01-15 | w: CLE | L: GSW
2001-01-15 | w: MIL | L: WAS
2001-01-16 | w: HOU | L: TOR
2001-01-16 | w: POR | L: CLE
2001-01-16 | w: MIA | L: DET
2001-01-16 | w: MIL | L: LAC
2001-01-17 | w: NJN | L: WAS
2001-01-17 | w: DEN | L: VAN
2001-01-17 | w: TOR | L: SAS
2001-01-17 | w: MIN | L: UTA
2001-01-17 | w: PHI | L: CHI
2001-01-17 | w: PHX | L: SEA
2001-01-17 | w: SAC | L: BOS
2001-01-17 | w: DAL | L: CHH
2001-01-18 | w: IND | L: ATL
2001-01-18 | w: DAL | L: ORL
2001-01-18 | w: DET | L: CHI
2001-01-18 | w: POR | L: MIA
2001-01-18 | w: HOU | L: GSW
2001-01-18 | w: BOS | L: LAC
2001-01-19 | w: DEN | L: CLE
2001-01-19 | w: LAL | L: HOU
2001-01-19 | w: PHI | L: NJN
2001-01-19 | w: MIN | L: SEA
2001-01-19 | w: GSW | L: PHX
2001-01-19 | w: NYK | L: DET
2001-01-19 | w: TOR | L: WAS
2001-01-19 | w: MIA | L: VAN
2001-01-19 | w: MIL | L: CHH
2001-01-20 | w: NJN | L: CHI
2001-01-20 | w: ORL | L: SAS
2001-01-20 | w: DAL | L: DEN
2001-01-20 | w: SAC | L: POR
2001-01-21 | w: UTA | L: PHX
2001-01-21 | w: IND | L: NYK
2001-01-21 | w: MIA | L: LAL
2001-01-21 | w: TOR | L: PHI
2001-01-21 | w: SEA | L: SAC
2001-01-21 | w: MIL | L: DET
2001-01-21 | w: MIN | L: VAN
2001-01-21 | w: GSW | L: BOS
2001-01-21 | w: WAS | L: ATL
2001-01-22 | w: CLE | L: POR
2001-01-23 | w: SAS | L: VAN
2001-01-23 | w: DEN | L: HOU
2001-01-23 | w: PHI | L: DAL
2001-01-23 | w: UTA | L: GSW
2001-01-23 | w: POR | L: CHI
2001-01-23 | w: SAC | L: NJN
2001-01-23 | w: SEA | L: LAL
2001-01-23 | w: MIL | L: NYK
2001-01-23 | w: MIN | L: PHX
2001-01-23 | w: ORL | L: TOR
2001-01-23 | w: BOS | L: ATL
2001-01-23 | w: WAS | L: CHH
2001-01-24 | w: PHI | L: HOU
2001-01-24 | w: MIA | L: TOR
2001-01-24 | w: PHX | L: DET
2001-01-24 | w: CHH | L: NYK
2001-01-24 | w: CLE | L: CHI
2001-01-24 | w: GSW | L: NJN
2001-01-24 | w: SEA | L: LAC
2001-01-25 | w: POR | L: IND
2001-01-25 | w: UTA | L: DEN
2001-01-25 | w: DAL | L: VAN
2001-01-25 | w: SAS | L: SAC
2001-01-25 | w: MIN | L: ORL
2001-01-26 | w: HOU | L: VAN
2001-01-26 | w: LAL | L: NJN
2001-01-26 | w: PHI | L: DET
2001-01-26 | w: WAS | L: ATL
2001-01-26 | w: BOS | L: PHX
2001-01-26 | w: SEA | L: GSW
2001-01-27 | w: DEN | L: DAL
2001-01-27 | w: SAS | L: UTA
2001-01-27 | w: TOR | L: CHI
2001-01-27 | w: DET | L: MIL
2001-01-27 | w: SEA | L: NJN
2001-01-27 | w: MIA | L: ORL
2001-01-27 | w: MIN | L: POR
2001-01-27 | w: ATL | L: CLE
2001-01-27 | w: HOU | L: CHH
2001-01-27 | w: SAC | L: LAC
2001-01-27 | w: WAS | L: PHX
2001-01-28 | w: PHI | L: IND
2001-01-28 | w: NYK | L: LAL
2001-01-29 | w: UTA | L: DEN
2001-01-29 | w: MIN | L: MIL
2001-01-29 | w: PHX | L: ATL
2001-01-29 | w: VAN | L: NJN
2001-01-29 | w: BOS | L: DET
2001-01-29 | w: SAS | L: LAC
2001-01-29 | w: CHH | L: GSW
2001-01-29 | w: WAS | L: CLE
2001-01-30 | w: MIA | L: HOU
2001-01-30 | w: POR | L: CHI
2001-01-30 | w: SAC | L: GSW
2001-01-30 | w: UTA | L: SEA
2001-01-30 | w: ORL | L: IND
2001-01-30 | w: TOR | L: PHI
2001-01-30 | w: LAL | L: CLE
2001-01-31 | w: DET | L: NJN
2001-01-31 | w: BOS | L: IND
2001-01-31 | w: SAS | L: LAC
2001-01-31 | w: MIL | L: DEN
2001-01-31 | w: PHX | L: VAN
2001-01-31 | w: MIN | L: LAL
2001-01-31 | w: ATL | L: TOR
2001-01-31 | w: ORL | L: WAS
2001-02-01 | w: LAC | L: HOU
2001-02-01 | w: UTA | L: CHH
2001-02-01 | w: DAL | L: MIA
2001-02-01 | w: PHI | L: NYK
2001-02-01 | w: POR | L: PHX
2001-02-01 | w: SEA | L: CHI
2001-02-01 | w: MIN | L: CLE
2001-02-02 | w: NYK | L: NJN
2001-02-02 | w: IND | L: DEN
2001-02-02 | w: LAL | L: CHH
2001-02-02 | w: ORL | L: PHI
2001-02-02 | w: SAC | L: VAN
2001-02-02 | w: MIA | L: ATL
2001-02-02 | w: BOS | L: DET
2001-02-03 | w: SAS | L: HOU
2001-02-03 | w: DAL | L: GSW
2001-02-03 | w: UTA | L: SEA
2001-02-03 | w: MIL | L: IND
2001-02-03 | w: ORL | L: ATL
2001-02-03 | w: DET | L: CLE
2001-02-03 | w: MIN | L: TOR
2001-02-03 | w: VAN | L: CHI
2001-02-03 | w: LAC | L: POR
2001-02-03 | w: DEN | L: WAS
2001-02-04 | w: NJN | L: PHI
2001-02-04 | w: LAL | L: SAC
2001-02-04 | w: NYK | L: MIA
2001-02-04 | w: PHX | L: CHH
2001-02-04 | w: BOS | L: CLE
2001-02-05 | w: HOU | L: NYK
2001-02-05 | w: SAS | L: GSW
2001-02-05 | w: PHI | L: DEN
2001-02-05 | w: SEA | L: VAN
2001-02-05 | w: TOR | L: BOS
2001-02-05 | w: DAL | L: ATL
2001-02-05 | w: LAC | L: CHI
2001-02-06 | w: NJN | L: ATL
2001-02-06 | w: MIA | L: IND
2001-02-06 | w: MIL | L: SAC
2001-02-06 | w: PHX | L: CHI
2001-02-06 | w: DET | L: DEN
2001-02-06 | w: ORL | L: CHH
2001-02-07 | w: HOU | L: PHI
2001-02-07 | w: NYK | L: DAL
2001-02-07 | w: LAL | L: PHX
2001-02-07 | w: POR | L: SEA
2001-02-07 | w: MIN | L: SAC
2001-02-07 | w: ORL | L: WAS
2001-02-07 | w: SAS | L: CLE
2001-02-07 | w: BOS | L: MIL
2001-02-07 | w: UTA | L: VAN
2001-02-07 | w: GSW | L: LAC
