============ Start of Season ============
1978-11-26 | w: WAS | L: GOS
1978-11-26 | w: IND | L: MIL
1978-11-26 | w: HOU | L: SEA
1978-11-28 | w: DET | L: LAL
1978-11-28 | w: CHI | L: PHX
1978-11-28 | w: WAS | L: NYK
1978-11-28 | w: MIL | L: DEN
1978-11-28 | w: NOJ | L: PHL
1978-11-28 | w: POR | L: BOS
1978-11-28 | w: CLE | L: ATL
1978-11-29 | w: GOS | L: HOU
1978-11-29 | w: PHL | L: SAN
1978-11-29 | w: SEA | L: NJN
1978-11-29 | w: IND | L: NYK
1978-11-30 | w: KCK | L: BOS
1978-11-30 | w: HOU | L: SDC
1978-11-30 | w: NOJ | L: DEN
1978-11-30 | w: PHX | L: DET
1978-11-30 | w: ATL | L: NYK
1978-11-30 | w: POR | L: CLE
1978-12-01 | w: LAL | L: PHX
1978-12-01 | w: NJN | L: GOS
1978-12-01 | w: BOS | L: SEA
1978-12-01 | w: DEN | L: DET
1978-12-01 | w: WAS | L: NOJ
1978-12-01 | w: MIL | L: IND
1978-12-02 | w: NYK | L: POR
1978-12-02 | w: DEN | L: SAN
1978-12-02 | w: CHI | L: HOU
1978-12-02 | w: DET | L: SDC
1978-12-02 | w: SEA | L: PHL
1978-12-02 | w: GOS | L: PHX
1978-12-02 | w: MIL | L: CLE
1978-12-02 | w: KCK | L: WAS
1978-12-02 | w: BOS | L: IND
1978-12-02 | w: ATL | L: NOJ
1978-12-03 | w: NJN | L: LAL
1978-12-05 | w: CHI | L: PHL
1978-12-05 | w: KCK | L: NYK
1978-12-05 | w: LAL | L: NOJ
1978-12-05 | w: BOS | L: DET
1978-12-05 | w: WAS | L: CLE
1978-12-06 | w: GOS | L: MIL
1978-12-06 | w: SAN | L: LAL
1978-12-06 | w: PHL | L: KCK
1978-12-06 | w: DEN | L: NJN
1978-12-06 | w: PHX | L: ATL
1978-12-06 | w: BOS | L: SDC
1978-12-06 | w: WAS | L: HOU
1978-12-06 | w: IND | L: POR
1978-12-07 | w: DET | L: CLE
1978-12-08 | w: LAL | L: MIL
1978-12-08 | w: CHI | L: POR
1978-12-08 | w: SAN | L: GOS
1978-12-08 | w: PHX | L: BOS
1978-12-08 | w: HOU | L: NOJ
1978-12-08 | w: NJN | L: WAS
1978-12-08 | w: SEA | L: ATL
1978-12-08 | w: IND | L: DET
1978-12-09 | w: CHI | L: NYK
1978-12-09 | w: NJN | L: SDC
1978-12-09 | w: KCK | L: DET
1978-12-09 | w: GOS | L: ATL
1978-12-09 | w: DEN | L: MIL
1978-12-09 | w: WAS | L: PHX
1978-12-09 | w: CLE | L: PHL
1978-12-09 | w: HOU | L: POR
1978-12-10 | w: LAL | L: ATL
1978-12-10 | w: SDC | L: MIL
1978-12-10 | w: SEA | L: SAN
1978-12-12 | w: CHI | L: GOS
1978-12-12 | w: SDC | L: NYK
1978-12-12 | w: HOU | L: BOS
1978-12-12 | w: MIL | L: PHX
1978-12-12 | w: NOJ | L: IND
1978-12-12 | w: DEN | L: SAN
1978-12-12 | w: CLE | L: DET
1978-12-12 | w: POR | L: LAL
1978-12-13 | w: SAN | L: NYK
1978-12-13 | w: PHL | L: KCK
1978-12-13 | w: BOS | L: NOJ
1978-12-13 | w: SEA | L: LAL
1978-12-13 | w: WAS | L: SDC
1978-12-13 | w: ATL | L: IND
1978-12-14 | w: HOU | L: GOS
1978-12-15 | w: LAL | L: SEA
1978-12-15 | w: ATL | L: NJN
1978-12-15 | w: NYK | L: CHI
1978-12-15 | w: PHL | L: HOU
1978-12-15 | w: CLE | L: MIL
1978-12-15 | w: KCK | L: BOS
1978-12-15 | w: WAS | L: DET
1978-12-15 | w: POR | L: DEN
1978-12-15 | w: SAN | L: IND
1978-12-16 | w: SAN | L: GOS
1978-12-16 | w: KCK | L: NOJ
1978-12-16 | w: CHI | L: CLE
1978-12-16 | w: PHX | L: LAL
1978-12-16 | w: WAS | L: BOS
1978-12-17 | w: PHL | L: LAL
1978-12-17 | w: NYK | L: ATL
1978-12-17 | w: SDC | L: PHX
1978-12-17 | w: GOS | L: NOJ
1978-12-17 | w: MIL | L: CHI
1978-12-17 | w: POR | L: DEN
1978-12-17 | w: CLE | L: SEA
1978-12-19 | w: CHI | L: ATL
1978-12-19 | w: PHL | L: SDC
1978-12-19 | w: NYK | L: IND
1978-12-19 | w: MIL | L: SEA
1978-12-19 | w: SAN | L: CLE
1978-12-20 | w: GOS | L: PHL
1978-12-20 | w: HOU | L: NJN
1978-12-20 | w: SAN | L: CHI
1978-12-20 | w: KCK | L: SEA
1978-12-20 | w: WAS | L: PHX
1978-12-20 | w: DEN | L: NOJ
1978-12-20 | w: BOS | L: IND
1978-12-20 | w: ATL | L: NYK
1978-12-21 | w: DET | L: IND
1978-12-21 | w: CLE | L: HOU
1978-12-22 | w: LAL | L: WAS
1978-12-22 | w: SAN | L: CHI
1978-12-22 | w: DEN | L: GOS
1978-12-22 | w: PHX | L: KCK
1978-12-22 | w: BOS | L: ATL
1978-12-22 | w: PHL | L: SEA
1978-12-25 | w: ATL | L: CLE
1978-12-23 | w: SAN | L: DET
1978-12-23 | w: HOU | L: NYK
1978-12-23 | w: POR | L: WAS
1978-12-23 | w: IND | L: NOJ
1978-12-23 | w: KCK | L: MIL
1978-12-26 | w: PHL | L: NYK
1978-12-25 | w: SDC | L: SEA
1978-12-25 | w: POR | L: GOS
1978-12-26 | w: NOJ | L: LAL
1978-12-26 | w: HOU | L: KCK
1978-12-26 | w: SDC | L: CHI
1978-12-26 | w: SAN | L: ATL
1978-12-26 | w: MIL | L: DET
1978-12-26 | w: PHX | L: DEN
1978-12-26 | w: WAS | L: IND
1978-12-27 | w: NYK | L: NJN
1978-12-27 | w: LAL | L: GOS
1978-12-27 | w: BOS | L: KCK
1978-12-27 | w: PHL | L: IND
1978-12-27 | w: DET | L: HOU
1978-12-27 | w: SEA | L: NOJ
1978-12-27 | w: ATL | L: SAN
1978-12-28 | w: NYK | L: WAS
1978-12-28 | w: SAN | L: MIL
1978-12-28 | w: CHI | L: DEN
1978-12-28 | w: PHX | L: POR
1978-12-28 | w: CLE | L: SDC
1978-12-29 | w: LAL | L: POR
1978-12-29 | w: KCK | L: NJN
1978-12-29 | w: GOS | L: NOJ
1978-12-29 | w: CHI | L: DEN
1978-12-29 | w: PHL | L: ATL
1978-12-29 | w: SDC | L: DET
1978-12-29 | w: SEA | L: PHX
1978-12-29 | w: HOU | L: MIL
1978-12-30 | w: NYK | L: KCK
1978-12-30 | w: SAN | L: PHL
1978-12-30 | w: PHX | L: BOS
1978-12-30 | w: ATL | L: DEN
1978-12-30 | w: HOU | L: DET
1978-12-30 | w: SDC | L: IND
1978-12-30 | w: CLE | L: NJN
1979-01-02 | w: GOS | L: SEA
1979-01-02 | w: DEN | L: KCK
1979-01-02 | w: PHX | L: NYK
1979-01-02 | w: SDC | L: DET
1979-01-02 | w: NOJ | L: LAL
1979-01-02 | w: WAS | L: CHI
1979-01-02 | w: SEA | L: POR
1979-01-02 | w: MIL | L: CLE
1979-01-03 | w: GOS | L: DET
1979-01-03 | w: SAN | L: NOJ
1979-01-03 | w: KCK | L: DEN
1979-01-03 | w: IND | L: MIL
1979-01-03 | w: PHL | L: CHI
1979-01-03 | w: HOU | L: NJN
1979-01-03 | w: SEA | L: BOS
1979-01-03 | w: LAL | L: ATL
1979-01-04 | w: KCK | L: SDC
1979-01-04 | w: NJN | L: NOJ
1979-01-04 | w: CLE | L: NYK
1979-01-05 | w: CHI | L: MIL
1979-01-05 | w: GOS | L: BOS
1979-01-05 | w: SAN | L: NJN
1979-01-05 | w: POR | L: DET
1979-01-05 | w: DEN | L: SEA
1979-01-05 | w: IND | L: PHL
1979-01-05 | w: ATL | L: HOU
1979-01-05 | w: WAS | L: PHX
1979-01-06 | w: KCK | L: IND
1979-01-06 | w: NYK | L: SAN
1979-01-06 | w: DEN | L: BOS
1979-01-06 | w: PHX | L: PHL
1979-01-06 | w: CLE | L: NOJ
1979-01-06 | w: MIL | L: SDC
1979-01-06 | w: WAS | L: ATL
1979-01-06 | w: HOU | L: LAL
1979-01-07 | w: NJN | L: PHX
1979-01-07 | w: CLE | L: GOS
1979-01-07 | w: IND | L: ATL
1979-01-08 | w: MIL | L: HOU
1979-01-09 | w: LAL | L: NYK
1979-01-09 | w: GOS | L: CHI
1979-01-09 | w: SAN | L: DET
1979-01-09 | w: SDC | L: NOJ
1979-01-09 | w: DEN | L: WAS
