============ Start of Season ============
1958-03-01 | w: CIN | L: PHW
1958-03-02 | w: MNL | L: PHW
1958-03-02 | w: BOS | L: SYR
1958-03-02 | w: STL | L: CIN
1958-03-04 | w: NYK | L: BOS
1958-03-04 | w: PHW | L: CIN
1958-03-05 | w: BOS | L: STL
1958-03-05 | w: SYR | L: NYK
1958-03-06 | w: CIN | L: PHW
1958-03-06 | w: DET | L: MNL
1958-03-07 | w: STL | L: SYR
1958-03-08 | w: BOS | L: DET
1958-03-08 | w: STL | L: MNL
1958-03-09 | w: NYK | L: PHW
1958-03-09 | w: CIN | L: BOS
1958-03-09 | w: MNL | L: STL
1958-03-09 | w: SYR | L: DET
1958-03-10 | w: CIN | L: STL
1958-03-11 | w: BOS | L: NYK
1958-03-11 | w: PHW | L: STL
1958-03-12 | w: NYK | L: BOS
1958-03-12 | w: CIN | L: MNL
1958-03-12 | w: SYR | L: PHW
============ End of Regular Season ============
1958-03-15 | w: DET | L: CIN
1958-03-15 | w: SYR | L: PHW
1958-03-16 | w: PHW | L: SYR
1958-03-16 | w: DET | L: CIN
1958-03-18 | w: PHW | L: SYR
1958-03-19 | w: BOS | L: PHW
1958-03-19 | w: STL | L: DET
1958-03-22 | w: BOS | L: PHW
1958-03-22 | w: STL | L: DET
1958-03-23 | w: BOS | L: PHW
1958-03-23 | w: DET | L: STL
1958-03-25 | w: STL | L: DET
1958-03-26 | w: PHW | L: BOS
1958-03-27 | w: BOS | L: PHW
1958-03-27 | w: STL | L: DET
1958-03-29 | w: STL | L: BOS
1958-03-30 | w: BOS | L: STL
1958-04-02 | w: STL | L: BOS
1958-04-05 | w: BOS | L: STL
1958-04-09 | w: STL | L: BOS
1958-04-12 | w: STL | L: BOS
============ End of Playoffs ============
