============ Start of Season ============
1967-01-21 | w: CIN | L: DET
1967-01-22 | w: STL | L: NYK
1967-01-22 | w: CHI | L: BLT
1967-01-22 | w: BOS | L: LAL
1967-01-23 | w: PHL | L: STL
1967-01-24 | w: SFW | L: BLT
1967-01-24 | w: CIN | L: NYK
1967-01-24 | w: DET | L: CHI
1967-01-24 | w: BOS | L: PHL
1967-01-25 | w: LAL | L: BLT
1967-01-25 | w: BOS | L: DET
1967-01-25 | w: STL | L: CHI
1967-01-25 | w: CIN | L: NYK
1967-01-26 | w: DET | L: CIN
1967-01-27 | w: BOS | L: DET
1967-01-27 | w: SFW | L: BLT
1967-01-27 | w: PHL | L: CIN
1967-01-28 | w: LAL | L: BLT
1967-01-28 | w: BOS | L: NYK
1967-01-28 | w: CIN | L: STL
1967-01-29 | w: STL | L: PHL
1967-01-29 | w: BOS | L: NYK
1967-01-29 | w: LAL | L: CHI
1967-01-29 | w: CIN | L: SFW
1967-01-30 | w: STL | L: LAL
1967-01-30 | w: BOS | L: SFW
1967-01-31 | w: SFW | L: DET
1967-01-31 | w: NYK | L: STL
1967-02-01 | w: LAL | L: PHL
1967-02-01 | w: DET | L: NYK
1967-02-01 | w: BOS | L: BLT
1967-02-02 | w: SFW | L: PHL
1967-02-02 | w: CIN | L: BLT
1967-02-03 | w: NYK | L: DET
1967-02-03 | w: LAL | L: SFW
1967-02-03 | w: STL | L: BOS
1967-02-03 | w: CHI | L: CIN
1967-02-04 | w: STL | L: CHI
1967-02-04 | w: PHL | L: SFW
1967-02-04 | w: NYK | L: DET
1967-02-04 | w: BLT | L: CIN
1967-02-05 | w: PHL | L: LAL
1967-02-05 | w: BOS | L: CIN
1967-02-05 | w: DET | L: STL
1967-02-05 | w: SFW | L: CHI
1967-02-06 | w: BLT | L: STL
1967-02-07 | w: STL | L: BLT
1967-02-07 | w: LAL | L: NYK
1967-02-07 | w: DET | L: CHI
1967-02-07 | w: PHL | L: SFW
1967-02-07 | w: BOS | L: CIN
1967-02-08 | w: LAL | L: BLT
1967-02-08 | w: NYK | L: CHI
1967-02-08 | w: PHL | L: CIN
1967-02-09 | w: BLT | L: BOS
1967-02-10 | w: NYK | L: CHI
1967-02-10 | w: PHL | L: LAL
1967-02-10 | w: CIN | L: DET
1967-02-10 | w: BOS | L: SFW
1967-02-11 | w: CIN | L: DET
1967-02-11 | w: BLT | L: PHL
1967-02-11 | w: STL | L: CHI
1967-02-11 | w: NYK | L: SFW
1967-02-12 | w: LAL | L: CHI
1967-02-12 | w: STL | L: CIN
1967-02-12 | w: BOS | L: PHL
1967-02-12 | w: DET | L: SFW
1967-02-13 | w: STL | L: NYK
1967-02-13 | w: PHL | L: CIN
1967-02-14 | w: SFW | L: BOS
1967-02-15 | w: LAL | L: BOS
1967-02-15 | w: PHL | L: DET
1967-02-15 | w: CIN | L: NYK
1967-02-16 | w: CIN | L: DET
1967-02-16 | w: SFW | L: CHI
1967-02-16 | w: NYK | L: STL
1967-02-17 | w: BOS | L: LAL
1967-02-17 | w: STL | L: BLT
1967-02-17 | w: PHL | L: CIN
1967-02-18 | w: DET | L: BLT
1967-02-18 | w: SFW | L: BOS
1967-02-18 | w: NYK | L: CIN
1967-02-19 | w: CHI | L: LAL
1967-02-19 | w: PHL | L: STL
1967-02-19 | w: BLT | L: DET
1967-02-20 | w: CIN | L: STL
1967-02-21 | w: DET | L: STL
1967-02-21 | w: SFW | L: LAL
1967-02-21 | w: BOS | L: NYK
1967-02-22 | w: CHI | L: NYK
1967-02-22 | w: LAL | L: CIN
1967-02-22 | w: BOS | L: BLT
1967-02-23 | w: BOS | L: NYK
1967-02-24 | w: CIN | L: SFW
1967-02-24 | w: DET | L: LAL
1967-02-24 | w: PHL | L: BLT
1967-02-25 | w: CIN | L: SFW
1967-02-25 | w: NYK | L: BLT
1967-02-25 | w: LAL | L: STL
1967-02-26 | w: LAL | L: CIN
1967-02-26 | w: BOS | L: STL
1967-02-26 | w: BLT | L: CHI
1967-02-27 | w: STL | L: DET
1967-02-28 | w: LAL | L: DET
1967-02-28 | w: NYK | L: SFW
1967-02-28 | w: PHL | L: CIN
1967-03-01 | w: BOS | L: SFW
1967-03-01 | w: DET | L: NYK
1967-03-01 | w: BLT | L: STL
1967-03-01 | w: CHI | L: PHL
1967-03-01 | w: CIN | L: LAL
1967-03-02 | w: BOS | L: CHI
1967-03-02 | w: PHL | L: SFW
1967-03-03 | w: PHL | L: DET
1967-03-03 | w: LAL | L: NYK
1967-03-03 | w: BOS | L: CIN
1967-03-04 | w: CHI | L: STL
1967-03-04 | w: SFW | L: NYK
1967-03-04 | w: CIN | L: BLT
1967-03-05 | w: STL | L: BLT
1967-03-05 | w: BOS | L: LAL
1967-03-05 | w: NYK | L: SFW
1967-03-05 | w: CHI | L: CIN
1967-03-05 | w: PHL | L: DET
1967-03-06 | w: BOS | L: DET
1967-03-06 | w: PHL | L: LAL
1967-03-06 | w: CIN | L: STL
1967-03-07 | w: LAL | L: NYK
1967-03-07 | w: CHI | L: BOS
1967-03-08 | w: STL | L: LAL
1967-03-08 | w: DET | L: BLT
1967-03-08 | w: PHL | L: BOS
1967-03-10 | w: LAL | L: DET
1967-03-10 | w: STL | L: SFW
1967-03-10 | w: CHI | L: BLT
1967-03-11 | w: LAL | L: SFW
1967-03-11 | w: BOS | L: PHL
1967-03-11 | w: CIN | L: CHI
1967-03-12 | w: DET | L: LAL
1967-03-12 | w: STL | L: CIN
1967-03-12 | w: BOS | L: BLT
1967-03-12 | w: PHL | L: NYK
1967-03-13 | w: STL | L: BOS
1967-03-13 | w: SFW | L: DET
1967-03-13 | w: CIN | L: CHI
1967-03-14 | w: PHL | L: SFW
1967-03-14 | w: STL | L: CHI
1967-03-15 | w: PHL | L: LAL
1967-03-15 | w: CHI | L: DET
1967-03-15 | w: BLT | L: NYK
1967-03-15 | w: CIN | L: BOS
1967-03-16 | w: SFW | L: PHL
1967-03-16 | w: BOS | L: DET
1967-03-16 | w: CIN | L: STL
1967-03-17 | w: LAL | L: BLT
1967-03-17 | w: CHI | L: SFW
1967-03-18 | w: STL | L: DET
