============ Start of Season ============
1961-03-05 | w: CIN | L: NYK
1961-03-05 | w: LAL | L: SYR
1961-03-05 | w: BOS | L: PHW
1961-03-05 | w: STL | L: DET
1961-03-07 | w: BOS | L: CIN
1961-03-07 | w: NYK | L: SYR
1961-03-07 | w: STL | L: LAL
1961-03-08 | w: STL | L: NYK
1961-03-08 | w: BOS | L: SYR
1961-03-08 | w: DET | L: LAL
1961-03-09 | w: BOS | L: DET
1961-03-09 | w: PHW | L: NYK
1961-03-09 | w: SYR | L: STL
1961-03-10 | w: DET | L: PHW
1961-03-11 | w: CIN | L: LAL
1961-03-11 | w: STL | L: PHW
1961-03-11 | w: BOS | L: SYR
1961-03-12 | w: DET | L: NYK
1961-03-12 | w: LAL | L: CIN
1961-03-12 | w: BOS | L: SYR
============ End of Regular Season ============
1961-03-14 | w: LAL | L: DET
1961-03-14 | w: SYR | L: PHW
1961-03-15 | w: LAL | L: DET
1961-03-16 | w: SYR | L: PHW
1961-03-17 | w: DET | L: LAL
1961-03-18 | w: SYR | L: PHW
1961-03-18 | w: DET | L: LAL
1961-03-19 | w: LAL | L: DET
1961-03-19 | w: BOS | L: SYR
1961-03-21 | w: LAL | L: STL
1961-03-21 | w: SYR | L: BOS
1961-03-22 | w: STL | L: LAL
1961-03-23 | w: BOS | L: SYR
1961-03-24 | w: LAL | L: STL
1961-03-25 | w: BOS | L: SYR
1961-03-25 | w: STL | L: LAL
1961-03-26 | w: BOS | L: SYR
1961-03-27 | w: LAL | L: STL
1961-03-29 | w: STL | L: LAL
1961-04-01 | w: STL | L: LAL
1961-04-02 | w: BOS | L: STL
1961-04-05 | w: BOS | L: STL
1961-04-08 | w: STL | L: BOS
1961-04-09 | w: BOS | L: STL
1961-04-11 | w: BOS | L: STL
============ End of Playoffs ============
