============ Start of Season ============
1971-02-16 | w: LAL | L: NYK
1971-02-16 | w: PHX | L: BOS
1971-02-16 | w: DET | L: BLT
1971-02-16 | w: CHI | L: ATL
1971-02-16 | w: CIN | L: POR
1971-02-16 | w: MIL | L: BUF
1971-02-17 | w: BOS | L: SFW
1971-02-17 | w: BUF | L: BLT
1971-02-17 | w: SEA | L: POR
1971-02-17 | w: PHX | L: CIN
1971-02-17 | w: MIL | L: PHL
1971-02-17 | w: CHI | L: CLE
1971-02-18 | w: NYK | L: SDR
1971-02-18 | w: LAL | L: POR
1971-02-19 | w: PHL | L: LAL
1971-02-19 | w: SDR | L: SFW
1971-02-19 | w: MIL | L: SEA
1971-02-19 | w: PHX | L: BOS
1971-02-19 | w: CLE | L: CIN
1971-02-19 | w: BLT | L: BUF
1971-02-19 | w: CHI | L: DET
1971-02-20 | w: MIL | L: SFW
1971-02-20 | w: NYK | L: DET
1971-02-20 | w: ATL | L: BLT
1971-02-20 | w: SDR | L: BOS
1971-02-20 | w: PHL | L: POR
1971-02-20 | w: CIN | L: BUF
1971-02-21 | w: LAL | L: BOS
1971-02-21 | w: BLT | L: ATL
1971-02-21 | w: CHI | L: DET
1971-02-21 | w: SEA | L: PHL
1971-02-21 | w: MIL | L: PHX
1971-02-21 | w: POR | L: CLE
1971-02-22 | w: SFW | L: BUF
1971-02-23 | w: SDR | L: NYK
1971-02-23 | w: LAL | L: BLT
1971-02-23 | w: MIL | L: SFW
1971-02-23 | w: PHL | L: POR
1971-02-24 | w: ATL | L: POR
1971-02-24 | w: BOS | L: LAL
1971-02-24 | w: SFW | L: DET
1971-02-24 | w: SEA | L: CLE
1971-02-24 | w: MIL | L: SDR
1971-02-24 | w: NYK | L: CIN
1971-02-26 | w: LAL | L: SEA
1971-02-26 | w: BLT | L: POR
1971-02-26 | w: MIL | L: CIN
1971-02-26 | w: PHX | L: PHL
1971-02-26 | w: BOS | L: ATL
1971-02-26 | w: DET | L: BUF
1971-02-27 | w: ATL | L: BUF
1971-02-27 | w: LAL | L: SFW
1971-02-27 | w: NYK | L: POR
1971-02-27 | w: PHX | L: DET
1971-02-27 | w: CHI | L: SEA
1971-02-28 | w: LAL | L: CLE
1971-02-28 | w: DET | L: ATL
1971-02-28 | w: MIL | L: BOS
1971-02-28 | w: NYK | L: BLT
1971-02-28 | w: PHL | L: CIN
1971-03-01 | w: CHI | L: CIN
1971-03-01 | w: MIL | L: PHL
1971-03-02 | w: NYK | L: BLT
1971-03-02 | w: DET | L: POR
1971-03-02 | w: ATL | L: SEA
1971-03-02 | w: SDR | L: PHL
1971-03-02 | w: LAL | L: BUF
1971-03-03 | w: PHL | L: POR
1971-03-03 | w: BOS | L: SDR
1971-03-03 | w: ATL | L: SFW
1971-03-03 | w: PHX | L: CHI
1971-03-03 | w: MIL | L: LAL
1971-03-03 | w: CIN | L: BLT
1971-03-04 | w: MIL | L: BUF
1971-03-05 | w: CHI | L: SFW
1971-03-05 | w: ATL | L: LAL
1971-03-05 | w: MIL | L: DET
1971-03-05 | w: SEA | L: SDR
1971-03-05 | w: PHL | L: NYK
1971-03-05 | w: CIN | L: POR
1971-03-06 | w: CHI | L: SDR
1971-03-06 | w: SFW | L: BLT
1971-03-06 | w: NYK | L: BOS
1971-03-06 | w: SEA | L: LAL
1971-03-06 | w: PHL | L: DET
1971-03-06 | w: BUF | L: CLE
1971-03-07 | w: LAL | L: CHI
1971-03-07 | w: ATL | L: CIN
1971-03-07 | w: NYK | L: BOS
1971-03-07 | w: CLE | L: DET
1971-03-07 | w: SDR | L: POR
1971-03-07 | w: BLT | L: PHX
1971-03-08 | w: MIL | L: SEA
1971-03-08 | w: BUF | L: POR
1971-03-09 | w: BLT | L: LAL
1971-03-09 | w: BOS | L: SFW
1971-03-09 | w: SEA | L: NYK
1971-03-09 | w: PHX | L: DET
1971-03-09 | w: SDR | L: BUF
1971-03-09 | w: PHL | L: CLE
1971-03-09 | w: CHI | L: MIL
1971-03-10 | w: ATL | L: PHX
1971-03-10 | w: CIN | L: NYK
1971-03-11 | w: SEA | L: DET
1971-03-11 | w: SDR | L: BOS
1971-03-11 | w: POR | L: BLT
1971-03-12 | w: BUF | L: LAL
1971-03-12 | w: SFW | L: SEA
1971-03-12 | w: CHI | L: PHX
1971-03-12 | w: DET | L: POR
1971-03-12 | w: ATL | L: CLE
1971-03-12 | w: CIN | L: BOS
1971-03-13 | w: SFW | L: DET
1971-03-13 | w: NYK | L: MIL
1971-03-13 | w: SDR | L: BLT
1971-03-13 | w: CHI | L: PHX
1971-03-13 | w: CIN | L: ATL
1971-03-14 | w: LAL | L: DET
1971-03-14 | w: ATL | L: PHL
1971-03-14 | w: BOS | L: CHI
1971-03-14 | w: SEA | L: BLT
1971-03-14 | w: PHX | L: MIL
1971-03-14 | w: POR | L: BUF
1971-03-14 | w: CIN | L: CLE
1971-03-16 | w: NYK | L: LAL
1971-03-16 | w: CHI | L: BLT
1971-03-16 | w: MIL | L: PHX
1971-03-16 | w: ATL | L: PHL
1971-03-16 | w: CLE | L: SFW
1971-03-16 | w: CIN | L: BUF
1971-03-17 | w: BOS | L: LAL
1971-03-17 | w: BLT | L: CLE
1971-03-17 | w: SDR | L: DET
1971-03-17 | w: SFW | L: CIN
1971-03-18 | w: SEA | L: MIL
1971-03-18 | w: SFW | L: CHI
1971-03-18 | w: NYK | L: PHX
1971-03-19 | w: PHX | L: LAL
1971-03-19 | w: BOS | L: BLT
1971-03-19 | w: DET | L: BUF
1971-03-19 | w: SDR | L: MIL
1971-03-19 | w: POR | L: SEA
1971-03-19 | w: PHL | L: CIN
1971-03-19 | w: ATL | L: CHI
1971-03-20 | w: BLT | L: PHL
1971-03-20 | w: CHI | L: ATL
1971-03-20 | w: PHX | L: SEA
1971-03-20 | w: CLE | L: DET
1971-03-20 | w: POR | L: BUF
1971-03-21 | w: LAL | L: NYK
1971-03-21 | w: BOS | L: CIN
1971-03-21 | w: DET | L: CHI
1971-03-21 | w: SEA | L: SFW
1971-03-21 | w: SDR | L: PHX
1971-03-21 | w: POR | L: CLE
1971-03-21 | w: PHL | L: BLT
1971-03-23 | w: POR | L: CLE
============ End of Regular Season ============
1971-03-24 | w: LAL | L: CHI
1971-03-24 | w: PHL | L: BLT
1971-03-25 | w: NYK | L: ATL
1971-03-26 | w: LAL | L: CHI
1971-03-26 | w: BLT | L: PHL
1971-03-27 | w: MIL | L: SFW
1971-03-27 | w: ATL | L: NYK
1971-03-28 | w: NYK | L: ATL
1971-03-28 | w: BLT | L: PHL
