============ Start of Season ============
2012-12-01 | w: HOU | L: UTA
2012-12-01 | w: LAC | L: SAC
2012-12-01 | w: MIA | L: BKN
2012-12-01 | w: MIL | L: BOS
2012-12-01 | w: DAL | L: DET
2012-12-01 | w: OKC | L: NOH
2012-12-02 | w: ORL | L: LAL
2012-12-02 | w: NYK | L: PHX
2012-12-03 | w: ORL | L: GSW
2012-12-03 | w: DET | L: CLE
2012-12-03 | w: LAC | L: UTA
2012-12-03 | w: DEN | L: TOR
2012-12-03 | w: NOH | L: MIL
2012-12-03 | w: POR | L: CHA
2012-12-04 | w: MIN | L: PHI
2012-12-04 | w: IND | L: CHI
2012-12-04 | w: OKC | L: BKN
2012-12-04 | w: HOU | L: LAL
2012-12-04 | w: WAS | L: MIA
2012-12-04 | w: MEM | L: PHX
2012-12-05 | w: SAS | L: MIL
2012-12-05 | w: BOS | L: MIN
2012-12-05 | w: CHI | L: CLE
2012-12-05 | w: LAC | L: DAL
2012-12-05 | w: GSW | L: DET
2012-12-05 | w: IND | L: POR
2012-12-05 | w: UTA | L: ORL
2012-12-05 | w: ATL | L: DEN
2012-12-05 | w: SAC | L: TOR
2012-12-05 | w: LAL | L: NOH
2012-12-05 | w: NYK | L: CHA
2012-12-06 | w: DAL | L: PHX
2012-12-06 | w: NYK | L: MIA
2012-12-07 | w: PHI | L: BOS
2012-12-07 | w: SAS | L: HOU
2012-12-07 | w: GSW | L: BKN
2012-12-07 | w: CHI | L: DET
2012-12-07 | w: UTA | L: TOR
2012-12-07 | w: DEN | L: IND
2012-12-07 | w: ATL | L: WAS
2012-12-07 | w: MIL | L: CHA
2012-12-07 | w: SAC | L: ORL
2012-12-07 | w: MIN | L: CLE
2012-12-07 | w: MEM | L: NOH
2012-12-07 | w: OKC | L: LAL
2012-12-08 | w: CHI | L: NYK
2012-12-08 | w: BOS | L: PHI
2012-12-08 | w: DET | L: CLE
2012-12-08 | w: DAL | L: HOU
2012-12-08 | w: LAC | L: PHX
2012-12-08 | w: MIA | L: NOH
2012-12-08 | w: SAC | L: POR
2012-12-08 | w: GSW | L: WAS
2012-12-08 | w: ATL | L: MEM
2012-12-08 | w: SAS | L: CHA
2012-12-09 | w: UTA | L: LAL
2012-12-09 | w: NYK | L: DEN
2012-12-09 | w: ORL | L: PHX
2012-12-09 | w: MIL | L: BKN
2012-12-09 | w: LAC | L: TOR
2012-12-09 | w: OKC | L: IND
2012-12-10 | w: PHI | L: DET
2012-12-10 | w: SAS | L: HOU
2012-12-10 | w: MIA | L: ATL
2012-12-10 | w: POR | L: TOR
2012-12-10 | w: DAL | L: SAC
2012-12-10 | w: GSW | L: CHA
2012-12-11 | w: LAC | L: CHI
2012-12-11 | w: NYK | L: BKN
2012-12-11 | w: CLE | L: LAL
2012-12-11 | w: DEN | L: DET
2012-12-11 | w: WAS | L: NOH
2012-12-12 | w: CHI | L: PHI
2012-12-12 | w: PHX | L: MEM
2012-12-12 | w: BOS | L: DAL
2012-12-12 | w: HOU | L: WAS
2012-12-12 | w: ATL | L: ORL
2012-12-12 | w: GSW | L: MIA
2012-12-12 | w: IND | L: CLE
2012-12-12 | w: UTA | L: SAS
2012-12-12 | w: MIL | L: SAC
2012-12-12 | w: MIN | L: DEN
2012-12-12 | w: BKN | L: TOR
2012-12-12 | w: OKC | L: NOH
2012-12-12 | w: LAC | L: CHA
2012-12-13 | w: NYK | L: LAL
2012-12-13 | w: POR | L: SAS
2012-12-13 | w: ATL | L: CHA
2012-12-14 | w: PHX | L: UTA
2012-12-14 | w: BKN | L: DET
2012-12-14 | w: HOU | L: BOS
2012-12-14 | w: MIL | L: CLE
2012-12-14 | w: ORL | L: GSW
2012-12-14 | w: IND | L: PHI
2012-12-14 | w: DEN | L: MEM
2012-12-14 | w: LAL | L: WAS
2012-12-14 | w: MIN | L: NOH
2012-12-14 | w: TOR | L: DAL
2012-12-14 | w: OKC | L: SAC
2012-12-15 | w: SAS | L: BOS
2012-12-15 | w: CHI | L: BKN
2012-12-15 | w: NYK | L: CLE
2012-12-15 | w: IND | L: DET
2012-12-15 | w: MIA | L: WAS
2012-12-15 | w: MEM | L: UTA
2012-12-15 | w: GSW | L: ATL
2012-12-15 | w: LAC | L: MIL
2012-12-15 | w: MIN | L: DAL
2012-12-15 | w: ORL | L: CHA
2012-12-16 | w: LAL | L: PHI
2012-12-16 | w: POR | L: NOH
2012-12-16 | w: DEN | L: SAC
2012-12-16 | w: TOR | L: HOU
2012-12-17 | w: PHX | L: SAC
2012-12-17 | w: ORL | L: MIN
2012-12-17 | w: LAC | L: DET
2012-12-17 | w: MEM | L: CHI
2012-12-17 | w: OKC | L: SAS
2012-12-17 | w: HOU | L: NYK
2012-12-18 | w: GSW | L: NOH
2012-12-18 | w: LAL | L: CHA
2012-12-18 | w: CHI | L: BOS
2012-12-18 | w: UTA | L: BKN
2012-12-18 | w: TOR | L: CLE
2012-12-18 | w: MIA | L: MIN
2012-12-18 | w: MIL | L: IND
2012-12-18 | w: DAL | L: PHI
2012-12-18 | w: DEN | L: SAS
2012-12-18 | w: ATL | L: WAS
2012-12-19 | w: NYK | L: BKN
2012-12-19 | w: PHX | L: CHA
2012-12-19 | w: BOS | L: CLE
2012-12-19 | w: HOU | L: PHI
2012-12-19 | w: ORL | L: WAS
2012-12-19 | w: LAC | L: NOH
2012-12-19 | w: IND | L: UTA
2012-12-19 | w: OKC | L: ATL
2012-12-19 | w: SAC | L: GSW
2012-12-19 | w: TOR | L: DET
2012-12-19 | w: MEM | L: MIL
2012-12-20 | w: POR | L: DEN
2012-12-20 | w: MIA | L: DAL
2012-12-20 | w: MIN | L: OKC
2012-12-21 | w: PHI | L: ATL
2012-12-21 | w: GSW | L: CHA
2012-12-21 | w: SAS | L: NOH
2012-12-21 | w: CHI | L: NYK
2012-12-21 | w: MIL | L: BOS
2012-12-21 | w: IND | L: CLE
2012-12-21 | w: LAC | L: SAC
2012-12-21 | w: DET | L: WAS
2012-12-21 | w: TOR | L: ORL
2012-12-21 | w: MEM | L: DAL
2012-12-22 | w: LAL | L: GSW
2012-12-22 | w: HOU | L: MEM
2012-12-22 | w: MIA | L: UTA
2012-12-22 | w: POR | L: PHX
2012-12-22 | w: ATL | L: CHI
2012-12-22 | w: CLE | L: MIL
2012-12-22 | w: DEN | L: CHA
2012-12-22 | w: IND | L: NOH
2012-12-22 | w: DET | L: WAS
2012-12-23 | w: SAS | L: DAL
2012-12-23 | w: LAC | L: PHX
2012-12-23 | w: NYK | L: MIN
2012-12-23 | w: BKN | L: PHI
2012-12-23 | w: UTA | L: ORL
2012-12-23 | w: SAC | L: POR
2012-12-25 | w: LAL | L: NYK
2012-12-25 | w: HOU | L: CHI
2012-12-25 | w: BOS | L: BKN
2012-12-25 | w: LAC | L: DEN
2012-12-25 | w: MIA | L: OKC
2012-12-26 | w: SAS | L: TOR
2012-12-26 | w: NYK | L: PHX
2012-12-26 | w: NOH | L: ORL
2012-12-26 | w: POR | L: SAC
2012-12-26 | w: GSW | L: UTA
2012-12-26 | w: ATL | L: DET
2012-12-26 | w: MIL | L: BKN
2012-12-26 | w: DEN | L: LAL
2012-12-26 | w: HOU | L: MIN
2012-12-26 | w: CLE | L: WAS
2012-12-26 | w: PHI | L: MEM
2012-12-26 | w: MIA | L: CHA
2012-12-27 | w: LAC | L: BOS
2012-12-27 | w: OKC | L: DAL
2012-12-28 | w: GSW | L: PHI
2012-12-28 | w: SAS | L: HOU
2012-12-28 | w: LAL | L: POR
2012-12-28 | w: ATL | L: CLE
2012-12-28 | w: BKN | L: CHA
2012-12-28 | w: DET | L: MIA
2012-12-28 | w: LAC | L: UTA
2012-12-28 | w: IND | L: PHX
2012-12-28 | w: SAC | L: NYK
2012-12-28 | w: DEN | L: DAL
2012-12-28 | w: WAS | L: ORL
2012-12-28 | w: TOR | L: NOH
2012-12-29 | w: GSW | L: BOS
2012-12-29 | w: CHI | L: WAS
2012-12-29 | w: BKN | L: CLE
2012-12-29 | w: OKC | L: HOU
2012-12-29 | w: TOR | L: ORL
2012-12-29 | w: POR | L: PHI
2012-12-29 | w: ATL | L: IND
2012-12-29 | w: MIL | L: MIA
2012-12-29 | w: MEM | L: DEN
2012-12-29 | w: NOH | L: CHA
2012-12-29 | w: MIN | L: PHX
2012-12-30 | w: LAC | L: UTA
2012-12-30 | w: DET | L: MIL
2012-12-30 | w: SAS | L: DAL
2012-12-30 | w: SAC | L: BOS
2012-12-31 | w: SAS | L: BKN
2012-12-31 | w: CHA | L: CHI
2012-12-31 | w: HOU | L: ATL
2012-12-31 | w: MIA | L: ORL
2012-12-31 | w: IND | L: MEM
2012-12-31 | w: OKC | L: PHX
2013-01-01 | w: PHI | L: LAL
2013-01-01 | w: POR | L: NYK
2013-01-01 | w: DET | L: SAC
2013-01-01 | w: DEN | L: LAC
2013-01-01 | w: ATL | L: NOH
2013-01-01 | w: DAL | L: WAS
2013-01-02 | w: GSW | L: LAC
2013-01-02 | w: PHX | L: PHI
2013-01-02 | w: MEM | L: BOS
2013-01-02 | w: SAC | L: CLE
2013-01-02 | w: HOU | L: NOH
2013-01-02 | w: CHI | L: ORL
2013-01-02 | w: MIA | L: DAL
2013-01-02 | w: UTA | L: MIN
2013-01-02 | w: IND | L: WAS
2013-01-02 | w: SAS | L: MIL
2013-01-02 | w: TOR | L: POR
2013-01-02 | w: BKN | L: OKC
2013-01-03 | w: NYK | L: SAS
2013-01-03 | w: MIN | L: DEN
2013-01-04 | w: UTA | L: PHX
2013-01-04 | w: BOS | L: IND
2013-01-04 | w: LAC | L: LAL
2013-01-04 | w: DET | L: ATL
2013-01-04 | w: CHI | L: MIA
2013-01-04 | w: HOU | L: MIL
2013-01-04 | w: SAC | L: TOR
2013-01-04 | w: BKN | L: WAS
2013-01-04 | w: POR | L: MEM
2013-01-04 | w: OKC | L: PHI
2013-01-04 | w: CLE | L: CHA
2013-01-05 | w: SAS | L: PHI
2013-01-05 | w: BKN | L: SAC
2013-01-05 | w: HOU | L: CLE
2013-01-05 | w: NYK | L: ORL
2013-01-05 | w: LAC | L: GSW
2013-01-05 | w: IND | L: MIL
2013-01-05 | w: BOS | L: ATL
2013-01-05 | w: NOH | L: DAL
2013-01-05 | w: DEN | L: UTA
2013-01-05 | w: POR | L: MIN
2013-01-06 | w: DEN | L: LAL
2013-01-06 | w: MEM | L: PHX
2013-01-06 | w: CHA | L: DET
2013-01-06 | w: MIA | L: WAS
2013-01-06 | w: OKC | L: TOR
2013-01-07 | w: CHI | L: CLE
2013-01-07 | w: BOS | L: NYK
2013-01-07 | w: POR | L: ORL
2013-01-07 | w: UTA | L: DAL
2013-01-07 | w: MEM | L: SAC
2013-01-07 | w: NOH | L: SAS
2013-01-07 | w: WAS | L: OKC
2013-01-08 | w: BKN | L: PHI
2013-01-08 | w: HOU | L: LAL
2013-01-08 | w: IND | L: MIA
2013-01-08 | w: MIL | L: PHX
2013-01-08 | w: MIN | L: ATL
2013-01-09 | w: MEM | L: GSW
2013-01-09 | w: SAS | L: LAL
2013-01-09 | w: MIL | L: CHI
2013-01-09 | w: BOS | L: PHX
2013-01-09 | w: CLE | L: ATL
2013-01-09 | w: LAC | L: DAL
2013-01-09 | w: DEN | L: ORL
2013-01-09 | w: NOH | L: HOU
2013-01-09 | w: TOR | L: PHI
2013-01-09 | w: OKC | L: MIN
2013-01-09 | w: UTA | L: CHA
2013-01-10 | w: POR | L: MIA
2013-01-10 | w: IND | L: NYK
2013-01-10 | w: DAL | L: SAC
2013-01-11 | w: GSW | L: POR
2013-01-11 | w: OKC | L: LAL
2013-01-11 | w: CHI | L: NYK
2013-01-11 | w: BOS | L: HOU
2013-01-11 | w: BKN | L: PHX
2013-01-11 | w: ATL | L: UTA
2013-01-11 | w: DET | L: MIL
2013-01-11 | w: DEN | L: CLE
2013-01-11 | w: NOH | L: MIN
2013-01-11 | w: TOR | L: CHA
2013-01-11 | w: MEM | L: SAS
2013-01-12 | w: PHI | L: HOU
2013-01-12 | w: PHX | L: CHI
2013-01-12 | w: ORL | L: LAC
2013-01-12 | w: UTA | L: DET
2013-01-12 | w: IND | L: CHA
2013-01-12 | w: MIA | L: SAC
2013-01-12 | w: DAL | L: MEM
2013-01-12 | w: WAS | L: ATL
2013-01-13 | w: LAL | L: CLE
2013-01-13 | w: SAS | L: MIN
2013-01-13 | w: NYK | L: NOH
2013-01-13 | w: BKN | L: IND
2013-01-13 | w: OKC | L: POR
2013-01-13 | w: DEN | L: GSW
2013-01-13 | w: MIL | L: TOR
2013-01-14 | w: CHI | L: ATL
2013-01-14 | w: OKC | L: PHX
2013-01-14 | w: BOS | L: CHA
2013-01-14 | w: UTA | L: MIA
2013-01-14 | w: DAL | L: MIN
2013-01-14 | w: SAC | L: CLE
2013-01-14 | w: WAS | L: ORL
2013-01-14 | w: LAC | L: MEM
2013-01-15 | w: NOH | L: PHI
2013-01-15 | w: LAL | L: MIL
2013-01-15 | w: BKN | L: TOR
2013-01-15 | w: LAC | L: HOU
2013-01-15 | w: DEN | L: POR
2013-01-15 | w: IND | L: CHA
2013-01-16 | w: MIA | L: GSW
2013-01-16 | w: SAS | L: MEM
2013-01-16 | w: NOH | L: BOS
2013-01-16 | w: ORL | L: IND
2013-01-16 | w: CLE | L: POR
2013-01-16 | w: ATL | L: BKN
2013-01-16 | w: DAL | L: HOU
2013-01-16 | w: SAC | L: WAS
2013-01-16 | w: CHI | L: TOR
2013-01-16 | w: OKC | L: DEN
2013-01-17 | w: MIA | L: LAL
2013-01-17 | w: MIL | L: PHX
2013-01-17 | w: NYK | L: DET
2013-01-17 | w: LAC | L: MIN
2013-01-18 | w: PHI | L: TOR
2013-01-18 | w: SAS | L: GSW
2013-01-18 | w: CHI | L: BOS
2013-01-18 | w: BKN | L: ATL
2013-01-18 | w: CHA | L: ORL
2013-01-18 | w: IND | L: HOU
2013-01-18 | w: OKC | L: DAL
2013-01-18 | w: WAS | L: DEN
2013-01-18 | w: MEM | L: SAC
2013-01-19 | w: MEM | L: CHI
2013-01-19 | w: LAC | L: WAS
2013-01-19 | w: MIL | L: POR
2013-01-19 | w: UTA | L: CLE
2013-01-19 | w: SAS | L: ATL
2013-01-19 | w: MIN | L: HOU
2013-01-19 | w: GSW | L: NOH
2013-01-19 | w: SAC | L: CHA
2013-01-20 | w: DAL | L: ORL
2013-01-20 | w: DET | L: BOS
2013-01-20 | w: DEN | L: OKC
2013-01-20 | w: TOR | L: LAL
2013-01-21 | w: SAS | L: PHI
2013-01-21 | w: GSW | L: LAC
2013-01-21 | w: CHI | L: LAL
2013-01-21 | w: BKN | L: NYK
2013-01-21 | w: WAS | L: POR
2013-01-21 | w: ATL | L: MIN
2013-01-21 | w: NOH | L: SAC
2013-01-21 | w: IND | L: MEM
2013-01-21 | w: HOU | L: CHA
2013-01-22 | w: CLE | L: BOS
2013-01-22 | w: OKC | L: LAC
2013-01-22 | w: DET | L: ORL
2013-01-22 | w: MIL | L: PHI
2013-01-23 | w: GSW | L: OKC
2013-01-23 | w: SAS | L: NOH
2013-01-23 | w: CHI | L: DET
2013-01-23 | w: DEN | L: HOU
2013-01-23 | w: MIA | L: TOR
2013-01-23 | w: POR | L: IND
2013-01-23 | w: UTA | L: WAS
2013-01-23 | w: PHX | L: SAC
2013-01-23 | w: BKN | L: MIN
2013-01-23 | w: MEM | L: LAL
2013-01-23 | w: ATL | L: CHA
2013-01-24 | w: NYK | L: BOS
2013-01-24 | w: PHX | L: LAC
2013-01-24 | w: TOR | L: ORL
2013-01-25 | w: LAL | L: UTA
2013-01-25 | w: CHI | L: GSW
2013-01-25 | w: CLE | L: MIL
2013-01-25 | w: MIA | L: DET
2013-01-25 | w: ATL | L: BOS
2013-01-25 | w: OKC | L: SAC
2013-01-25 | w: SAS | L: DAL
2013-01-25 | w: HOU | L: NOH
2013-01-25 | w: WAS | L: MIN
2013-01-25 | w: MEM | L: BKN
2013-01-26 | w: PHI | L: NYK
2013-01-26 | w: SAS | L: PHX
2013-01-26 | w: HOU | L: BKN
2013-01-26 | w: UTA | L: IND
2013-01-26 | w: POR | L: LAC
2013-01-26 | w: MIL | L: GSW
2013-01-26 | w: DEN | L: SAC
2013-01-26 | w: WAS | L: CHI
2013-01-26 | w: CLE | L: TOR
2013-01-26 | w: CHA | L: MIN
2013-01-27 | w: LAL | L: OKC
2013-01-27 | w: NYK | L: ATL
2013-01-27 | w: BOS | L: MIA
2013-01-27 | w: DET | L: ORL
2013-01-27 | w: LAC | L: POR
2013-01-27 | w: DAL | L: PHX
2013-01-27 | w: NOH | L: MEM
2013-01-28 | w: MEM | L: PHI
2013-01-28 | w: CHI | L: CHA
2013-01-28 | w: BKN | L: ORL
2013-01-28 | w: HOU | L: UTA
2013-01-28 | w: DEN | L: IND
2013-01-28 | w: SAC | L: WAS
2013-01-28 | w: GSW | L: TOR
2013-01-29 | w: LAL | L: NOH
2013-01-29 | w: GSW | L: CLE
2013-01-29 | w: MIL | L: DET
2013-01-29 | w: POR | L: DAL
2013-01-30 | w: PHI | L: WAS
2013-01-30 | w: SAS | L: CHA
2013-01-30 | w: NYK | L: ORL
2013-01-30 | w: PHX | L: LAL
2013-01-30 | w: BOS | L: SAC
2013-01-30 | w: MIA | L: BKN
2013-01-30 | w: UTA | L: NOH
2013-01-30 | w: IND | L: DET
2013-01-30 | w: ATL | L: TOR
2013-01-30 | w: CHI | L: MIL
2013-01-30 | w: DEN | L: HOU
2013-01-30 | w: LAC | L: MIN
2013-01-31 | w: GSW | L: DAL
2013-01-31 | w: OKC | L: MEM
2013-02-01 | w: PHI | L: SAC
2013-02-01 | w: NYK | L: MIL
2013-02-01 | w: DAL | L: PHX
2013-02-01 | w: BOS | L: ORL
2013-02-01 | w: BKN | L: CHI
2013-02-01 | w: DET | L: CLE
2013-02-01 | w: UTA | L: POR
2013-02-01 | w: IND | L: MIA
2013-02-01 | w: DEN | L: NOH
2013-02-01 | w: LAL | L: MIN
2013-02-01 | w: TOR | L: LAC
2013-02-01 | w: MEM | L: WAS
2013-02-02 | w: GSW | L: PHX
2013-02-02 | w: SAS | L: WAS
2013-02-02 | w: NYK | L: SAC
2013-02-02 | w: HOU | L: CHA
2013-02-02 | w: CLE | L: OKC
2013-02-02 | w: POR | L: UTA
2013-02-02 | w: CHI | L: ATL
2013-02-02 | w: MIL | L: ORL
2013-02-02 | w: MIN | L: NOH
2013-02-03 | w: BOS | L: LAC
2013-02-03 | w: LAL | L: DET
