============ Start of Season ============
1987-02-05 | w: UTH | L: LAC
1987-02-10 | w: LAL | L: SAC
1987-02-10 | w: ATL | L: SEA
1987-02-10 | w: HOU | L: SAN
1987-02-10 | w: CLE | L: NYK
1987-02-10 | w: PHX | L: UTH
1987-02-10 | w: BOS | L: DEN
1987-02-10 | w: DAL | L: POR
1987-02-10 | w: IND | L: GOS
1987-02-10 | w: CHI | L: PHL
1987-02-11 | w: MIL | L: NYK
1987-02-11 | w: IND | L: PHX
1987-02-11 | w: WAS | L: SAN
1987-02-11 | w: ATL | L: LAC
1987-02-11 | w: DET | L: PHL
1987-02-12 | w: BOS | L: GOS
1987-02-12 | w: MIL | L: SEA
1987-02-12 | w: DET | L: CLE
1987-02-12 | w: SAC | L: DAL
1987-02-12 | w: WAS | L: DEN
1987-02-12 | w: HOU | L: NJN
1987-02-13 | w: LAL | L: IND
1987-02-13 | w: PHX | L: UTH
1987-02-13 | w: CHI | L: SEA
1987-02-13 | w: BOS | L: POR
1987-02-13 | w: LAC | L: SAN
1987-02-14 | w: GOS | L: ATL
1987-02-14 | w: CHI | L: NYK
1987-02-14 | w: MIL | L: HOU
1987-02-14 | w: SAC | L: WAS
1987-02-14 | w: UTH | L: SAN
1987-02-14 | w: DEN | L: IND
1987-02-14 | w: DAL | L: LAC
1987-02-14 | w: DET | L: PHL
1987-02-15 | w: LAL | L: BOS
1987-02-15 | w: POR | L: ATL
1987-02-15 | w: NJN | L: CLE
1987-02-16 | w: HOU | L: DAL
1987-02-16 | w: WAS | L: PHX
1987-02-16 | w: MIL | L: NJN
1987-02-16 | w: CLE | L: SEA
1987-02-16 | w: UTH | L: BOS
1987-02-16 | w: IND | L: GOS
1987-02-16 | w: POR | L: LAC
1987-02-16 | w: SAC | L: CHI
1987-02-16 | w: PHL | L: NYK
1987-02-17 | w: WAS | L: LAL
1987-02-17 | w: ATL | L: DET
1987-02-17 | w: SAN | L: DEN
1987-02-18 | w: CLE | L: SAC
1987-02-18 | w: MIL | L: UTH
1987-02-18 | w: LAL | L: DEN
1987-02-18 | w: IND | L: SEA
1987-02-18 | w: BOS | L: DAL
1987-02-18 | w: PHL | L: GOS
1987-02-19 | w: NYK | L: CLE
1987-02-19 | w: DET | L: SEA
1987-02-19 | w: BOS | L: HOU
1987-02-19 | w: POR | L: PHX
1987-02-19 | w: GOS | L: NJN
1987-02-20 | w: IND | L: ATL
1987-02-20 | w: LAL | L: CHI
1987-02-20 | w: WAS | L: UTH
1987-02-20 | w: LAC | L: DEN
1987-02-20 | w: DAL | L: SAN
1987-02-20 | w: PHL | L: SAC
1987-02-21 | w: DET | L: ATL
1987-02-21 | w: SEA | L: WAS
1987-02-21 | w: HOU | L: UTH
1987-02-21 | w: MIL | L: PHX
1987-02-21 | w: BOS | L: SAN
1987-02-21 | w: NJN | L: NYK
1987-02-21 | w: DAL | L: GOS
1987-02-22 | w: DET | L: NYK
1987-02-22 | w: CHI | L: CLE
1987-02-22 | w: POR | L: MIL
1987-02-22 | w: IND | L: SAC
1987-02-22 | w: LAL | L: PHL
1987-02-23 | w: BOS | L: NJN
1987-02-23 | w: DAL | L: GOS
1987-02-23 | w: SEA | L: LAC
1987-02-23 | w: HOU | L: DEN
1987-02-23 | w: CLE | L: WAS
1987-02-23 | w: ATL | L: PHL
1987-02-24 | w: POR | L: NYK
1987-02-24 | w: CHI | L: ATL
1987-02-24 | w: LAL | L: PHX
1987-02-24 | w: SAC | L: SAN
1987-02-24 | w: UTH | L: SEA
1987-02-24 | w: DEN | L: HOU
1987-02-24 | w: DET | L: NJN
1987-02-24 | w: MIL | L: IND
1987-02-25 | w: LAL | L: PHX
1987-02-25 | w: BOS | L: POR
1987-02-25 | w: DET | L: CLE
1987-02-25 | w: DAL | L: SAC
1987-02-26 | w: GOS | L: LAC
1987-02-26 | w: SAN | L: PHL
1987-02-26 | w: CHI | L: NJN
1987-02-26 | w: HOU | L: UTH
1987-02-26 | w: SEA | L: DEN
1987-02-26 | w: WAS | L: IND
1987-02-27 | w: LAL | L: GOS
1987-02-27 | w: ATL | L: BOS
1987-02-27 | w: POR | L: DET
1987-02-27 | w: NJN | L: IND
1987-02-27 | w: DAL | L: PHL
1987-02-28 | w: SEA | L: PHX
1987-02-28 | w: ATL | L: POR
1987-02-28 | w: WAS | L: NYK
1987-02-28 | w: CHI | L: MIL
1987-02-28 | w: UTH | L: LAL
1987-02-28 | w: SAN | L: DAL
1987-02-28 | w: CLE | L: DEN
1987-02-28 | w: LAC | L: SAC
1987-03-01 | w: BOS | L: DET
1987-03-01 | w: NJN | L: CHI
1987-03-01 | w: IND | L: NYK
1987-03-01 | w: PHL | L: HOU
1987-03-02 | w: ATL | L: WAS
1987-03-02 | w: SEA | L: CLE
1987-03-02 | w: SAC | L: DEN
1987-03-02 | w: HOU | L: SAN
1987-03-02 | w: DAL | L: PHX
1987-03-03 | w: LAL | L: GOS
1987-03-03 | w: NYK | L: UTH
1987-03-03 | w: CHI | L: LAC
1987-03-03 | w: POR | L: CLE
1987-03-03 | w: ATL | L: IND
1987-03-04 | w: LAL | L: SEA
1987-03-04 | w: BOS | L: UTH
1987-03-04 | w: WAS | L: NJN
1987-03-04 | w: MIL | L: LAC
1987-03-04 | w: DAL | L: DEN
1987-03-04 | w: CHI | L: DET
1987-03-04 | w: HOU | L: SAC
1987-03-04 | w: NYK | L: PHL
1987-03-05 | w: PHX | L: CLE
1987-03-05 | w: GOS | L: HOU
1987-03-05 | w: SEA | L: POR
1987-03-05 | w: DEN | L: SAN
1987-03-06 | w: BOS | L: LAC
1987-03-06 | w: DET | L: DAL
1987-03-06 | w: NYK | L: CHI
1987-03-06 | w: UTH | L: MIL
1987-03-06 | w: SAN | L: SAC
1987-03-06 | w: ATL | L: NJN
1987-03-06 | w: PHL | L: WAS
1987-03-07 | w: LAL | L: CLE
1987-03-07 | w: ATL | L: UTH
1987-03-07 | w: NYK | L: LAC
1987-03-07 | w: SEA | L: HOU
1987-03-07 | w: PHX | L: SAC
1987-03-07 | w: MIL | L: IND
1987-03-07 | w: NJN | L: PHL
1987-03-08 | w: GOS | L: SAN
1987-03-08 | w: POR | L: HOU
1987-03-08 | w: CHI | L: DAL
1987-03-08 | w: DET | L: BOS
1987-03-09 | w: ATL | L: CHI
1987-03-09 | w: MIL | L: PHX
1987-03-09 | w: IND | L: UTH
1987-03-09 | w: LAL | L: LAC
1987-03-10 | w: LAL | L: DEN
1987-03-10 | w: GOS | L: SAC
1987-03-10 | w: DET | L: NYK
1987-03-10 | w: NJN | L: WAS
1987-03-10 | w: ATL | L: SAN
1987-03-10 | w: SEA | L: HOU
1987-03-10 | w: PHL | L: CLE
