============ Start of Season ============
1983-12-10 | w: SAN | L: WAS
1983-12-10 | w: DAL | L: GOS
1983-12-11 | w: NYK | L: LAL
1983-12-11 | w: SEA | L: DET
1983-12-11 | w: POR | L: GOS
1983-12-11 | w: NJN | L: DEN
1983-12-11 | w: SDC | L: DAL
1983-12-11 | w: PHL | L: MIL
1983-12-13 | w: NJN | L: GOS
1983-12-13 | w: BOS | L: NYK
1983-12-13 | w: ATL | L: WAS
1983-12-13 | w: HOU | L: PHX
1983-12-13 | w: CHI | L: MIL
1983-12-13 | w: POR | L: SEA
1983-12-13 | w: UTH | L: CLE
1983-12-13 | w: DET | L: DEN
1983-12-14 | w: WAS | L: ATL
1983-12-14 | w: BOS | L: CLE
1983-12-14 | w: KCK | L: SEA
1983-12-14 | w: SAN | L: SDC
1983-12-14 | w: DAL | L: IND
1983-12-14 | w: PHL | L: MIL
1983-12-15 | w: GOS | L: KCK
1983-12-15 | w: CHI | L: NYK
1983-12-15 | w: PHX | L: LAL
1983-12-15 | w: POR | L: NJN
1983-12-15 | w: UTH | L: HOU
1983-12-16 | w: LAL | L: SDC
1983-12-16 | w: WAS | L: BOS
1983-12-16 | w: SEA | L: NJN
1983-12-16 | w: MIL | L: DAL
1983-12-16 | w: SAN | L: IND
1983-12-16 | w: POR | L: DEN
1983-12-16 | w: PHL | L: CLE
1983-12-17 | w: ATL | L: SAN
1983-12-17 | w: NYK | L: MIL
1983-12-17 | w: BOS | L: DET
1983-12-17 | w: WAS | L: CLE
1983-12-17 | w: HOU | L: IND
1983-12-17 | w: CHI | L: DAL
1983-12-17 | w: PHX | L: KCK
1983-12-17 | w: UTH | L: GOS
1983-12-18 | w: LAL | L: POR
1983-12-18 | w: GOS | L: SDC
1983-12-18 | w: DEN | L: NJN
1983-12-20 | w: ATL | L: NJN
1983-12-20 | w: PHX | L: GOS
1983-12-20 | w: DET | L: DAL
1983-12-20 | w: LAL | L: SEA
1983-12-20 | w: KCK | L: DEN
1983-12-20 | w: WAS | L: SAN
1983-12-21 | w: BOS | L: ATL
1983-12-21 | w: POR | L: PHX
1983-12-21 | w: DET | L: CLE
1983-12-21 | w: UTH | L: IND
1983-12-21 | w: SDC | L: HOU
1983-12-21 | w: PHL | L: SAN
1983-12-22 | w: GOS | L: LAL
1983-12-22 | w: HOU | L: SEA
1983-12-22 | w: CHI | L: MIL
1983-12-22 | w: IND | L: DEN
1983-12-22 | w: NJN | L: DAL
1983-12-23 | w: LAL | L: GOS
1983-12-23 | w: BOS | L: NJN
1983-12-23 | w: CHI | L: WAS
1983-12-23 | w: POR | L: HOU
1983-12-23 | w: MIL | L: CLE
1983-12-23 | w: KCK | L: SAN
1983-12-23 | w: UTH | L: DEN
1983-12-23 | w: PHX | L: SDC
1983-12-23 | w: ATL | L: NYK
1983-12-23 | w: PHL | L: DET
1983-12-25 | w: POR | L: LAL
1983-12-25 | w: NYK | L: NJN
1983-12-26 | w: PHX | L: DEN
1983-12-27 | w: LAL | L: DEN
1983-12-27 | w: ATL | L: DAL
1983-12-27 | w: UTH | L: GOS
1983-12-27 | w: DET | L: POR
1983-12-27 | w: WAS | L: NJN
1983-12-27 | w: SDC | L: HOU
1983-12-27 | w: CHI | L: NYK
