============ Start of Season ============
2016-12-12 | w: TOR | L: MIL
2016-12-13 | w: MIN | L: CHI
2016-12-13 | w: PHX | L: NYK
2016-12-13 | w: CLE | L: MEM
2016-12-13 | w: POR | L: OKC
2016-12-13 | w: ORL | L: ATL
2016-12-13 | w: GSW | L: NOP
2016-12-14 | w: TOR | L: PHI
2016-12-14 | w: SAS | L: BOS
2016-12-14 | w: BKN | L: LAL
2016-12-14 | w: HOU | L: SAC
2016-12-14 | w: LAC | L: ORL
2016-12-14 | w: MIA | L: IND
2016-12-14 | w: UTA | L: OKC
2016-12-14 | w: DET | L: DAL
2016-12-14 | w: WAS | L: CHA
2016-12-14 | w: MEM | L: CLE
2016-12-15 | w: GSW | L: NYK
2016-12-15 | w: SAS | L: PHX
2016-12-15 | w: MIL | L: CHI
2016-12-15 | w: DEN | L: POR
2016-12-15 | w: NOP | L: IND
2016-12-16 | w: LAL | L: PHI
2016-12-16 | w: MIL | L: CHI
2016-12-16 | w: BOS | L: CHA
2016-12-16 | w: HOU | L: NOP
2016-12-16 | w: ORL | L: BKN
2016-12-16 | w: LAC | L: MIA
2016-12-16 | w: UTA | L: DAL
2016-12-16 | w: WAS | L: DET
2016-12-16 | w: ATL | L: TOR
2016-12-16 | w: SAC | L: MEM
2016-12-17 | w: GSW | L: POR
2016-12-17 | w: CLE | L: LAL
2016-12-17 | w: IND | L: DET
2016-12-17 | w: CHA | L: ATL
2016-12-17 | w: DEN | L: NYK
2016-12-17 | w: HOU | L: MIN
2016-12-17 | w: OKC | L: PHX
2016-12-18 | w: PHI | L: BKN
2016-12-18 | w: SAS | L: NOP
2016-12-18 | w: TOR | L: ORL
2016-12-18 | w: BOS | L: MIA
2016-12-18 | w: DAL | L: SAC
2016-12-18 | w: WAS | L: LAC
2016-12-18 | w: UTA | L: MEM
2016-12-19 | w: CHI | L: DET
2016-12-19 | w: IND | L: WAS
2016-12-19 | w: DEN | L: DAL
2016-12-19 | w: MIN | L: PHX
2016-12-19 | w: ATL | L: OKC
2016-12-20 | w: NOP | L: PHI
2016-12-20 | w: GSW | L: UTA
2016-12-20 | w: NYK | L: IND
2016-12-20 | w: SAS | L: HOU
2016-12-20 | w: LAC | L: DEN
2016-12-20 | w: ORL | L: MIA
2016-12-20 | w: CLE | L: MIL
2016-12-20 | w: SAC | L: POR
2016-12-20 | w: CHA | L: LAL
2016-12-20 | w: TOR | L: BKN
2016-12-20 | w: BOS | L: MEM
2016-12-21 | w: WAS | L: CHI
2016-12-21 | w: HOU | L: PHX
2016-12-21 | w: CLE | L: MIL
2016-12-21 | w: MEM | L: DET
2016-12-21 | w: DAL | L: POR
2016-12-21 | w: SAC | L: UTA
2016-12-21 | w: MIN | L: ATL
2016-12-21 | w: OKC | L: NOP
2016-12-22 | w: NYK | L: ORL
2016-12-22 | w: GSW | L: BKN
2016-12-22 | w: LAC | L: SAS
2016-12-22 | w: MIA | L: LAL
2016-12-22 | w: BOS | L: IND
2016-12-23 | w: PHX | L: PHI
2016-12-23 | w: OKC | L: BOS
2016-12-23 | w: CLE | L: BKN
2016-12-23 | w: ORL | L: LAL
2016-12-23 | w: DAL | L: LAC
2016-12-23 | w: GSW | L: DET
2016-12-23 | w: TOR | L: UTA
2016-12-23 | w: SAS | L: POR
2016-12-23 | w: MIL | L: WAS
2016-12-23 | w: ATL | L: DEN
2016-12-23 | w: SAC | L: MIN
2016-12-23 | w: CHA | L: CHI
2016-12-23 | w: MEM | L: HOU
2016-12-23 | w: NOP | L: MIA
2016-12-25 | w: SAS | L: CHI
2016-12-25 | w: LAL | L: LAC
2016-12-25 | w: BOS | L: NYK
2016-12-25 | w: CLE | L: GSW
2016-12-25 | w: OKC | L: MIN
2016-12-26 | w: CHI | L: IND
2016-12-26 | w: BKN | L: CHA
2016-12-26 | w: HOU | L: PHX
2016-12-26 | w: ORL | L: MEM
2016-12-26 | w: DEN | L: LAC
2016-12-26 | w: DET | L: CLE
2016-12-26 | w: TOR | L: POR
2016-12-26 | w: SAC | L: PHI
2016-12-26 | w: MIN | L: ATL
2016-12-26 | w: WAS | L: MIL
2016-12-26 | w: NOP | L: DAL
2016-12-27 | w: UTA | L: LAL
2016-12-27 | w: BOS | L: MEM
2016-12-27 | w: OKC | L: MIA
2016-12-27 | w: HOU | L: DAL
2016-12-28 | w: GSW | L: TOR
2016-12-28 | w: SAS | L: PHX
2016-12-28 | w: CHI | L: BKN
2016-12-28 | w: CHA | L: ORL
