============ Start of Season ============
1947-02-13 | w: CHS | L: PRO
1947-02-14 | w: HUS | L: PIT
1947-02-15 | w: CLR | L: NYK
1947-02-15 | w: WAS | L: PHW
1947-02-15 | w: PRO | L: PIT
1947-02-16 | w: BOM | L: HUS
1947-02-16 | w: CHS | L: BOS
1947-02-16 | w: CLR | L: PHW
1947-02-16 | w: NYK | L: DEF
1947-02-17 | w: PIT | L: DEF
1947-02-18 | w: HUS | L: BOM
1947-02-18 | w: CLR | L: BOS
1947-02-19 | w: PRO | L: NYK
1947-02-19 | w: WAS | L: HUS
1947-02-19 | w: BOS | L: DEF
1947-02-20 | w: PHW | L: PIT
1947-02-20 | w: WAS | L: PRO
1947-02-20 | w: DEF | L: CHS
1947-02-21 | w: NYK | L: PIT
1947-02-21 | w: BOM | L: CHS
1947-02-21 | w: HUS | L: BOS
1947-02-22 | w: PRO | L: CLR
1947-02-22 | w: WAS | L: PIT
1947-02-23 | w: PRO | L: BOS
1947-02-23 | w: CHS | L: NYK
1947-02-23 | w: BOM | L: PHW
1947-02-23 | w: WAS | L: CLR
1947-02-23 | w: DEF | L: HUS
1947-02-24 | w: WAS | L: BOS
1947-02-24 | w: PHW | L: PIT
1947-02-25 | w: HUS | L: PRO
1947-02-25 | w: BOM | L: CLR
1947-02-26 | w: WAS | L: NYK
1947-02-26 | w: PHW | L: BOM
1947-02-26 | w: CLR | L: PIT
1947-02-26 | w: CHS | L: DEF
1947-02-27 | w: NYK | L: PRO
1947-02-28 | w: BOS | L: CLR
1947-02-28 | w: HUS | L: PHW
1947-03-01 | w: NYK | L: HUS
1947-03-01 | w: PRO | L: DEF
1947-03-01 | w: WAS | L: BOS
1947-03-02 | w: CHS | L: BOM
1947-03-02 | w: CLR | L: PHW
1947-03-03 | w: PHW | L: HUS
1947-03-03 | w: CHS | L: PIT
1947-03-03 | w: BOM | L: PRO
1947-03-04 | w: CLR | L: PRO
1947-03-05 | w: HUS | L: PIT
1947-03-05 | w: WAS | L: DEF
1947-03-06 | w: BOS | L: DEF
1947-03-06 | w: NYK | L: PHW
1947-03-06 | w: CHS | L: PIT
1947-03-07 | w: WAS | L: HUS
1947-03-08 | w: BOS | L: HUS
1947-03-08 | w: NYK | L: DEF
1947-03-08 | w: CHS | L: PRO
1947-03-08 | w: WAS | L: BOM
1947-03-09 | w: CHS | L: CLR
1947-03-10 | w: PRO | L: BOS
1947-03-11 | w: WAS | L: PHW
1947-03-11 | w: CLR | L: PIT
1947-03-11 | w: HUS | L: BOM
1947-03-12 | w: BOS | L: HUS
1947-03-12 | w: CLR | L: DEF
1947-03-13 | w: NYK | L: BOM
1947-03-13 | w: PHW | L: BOS
1947-03-13 | w: WAS | L: CHS
1947-03-13 | w: PRO | L: HUS
1947-03-14 | w: CHS | L: PHW
1947-03-14 | w: PRO | L: BOM
1947-03-14 | w: WAS | L: NYK
1947-03-16 | w: PHW | L: DEF
1947-03-16 | w: NYK | L: CLR
1947-03-18 | w: CLR | L: BOS
1947-03-18 | w: PIT | L: HUS
1947-03-18 | w: BOM | L: DEF
1947-03-19 | w: BOM | L: PIT
1947-03-19 | w: NYK | L: CHS
1947-03-19 | w: WAS | L: PRO
1947-03-20 | w: PHW | L: DEF
1947-03-20 | w: PRO | L: CLR
1947-03-20 | w: BOM | L: NYK
1947-03-21 | w: CHS | L: HUS
1947-03-22 | w: PHW | L: PRO
1947-03-22 | w: NYK | L: WAS
1947-03-22 | w: CLR | L: CHS
1947-03-22 | w: DEF | L: PIT
1947-03-23 | w: BOM | L: HUS
1947-03-23 | w: CLR | L: DEF
1947-03-24 | w: CHS | L: BOS
1947-03-24 | w: NYK | L: PIT
1947-03-25 | w: CLR | L: BOS
1947-03-26 | w: NYK | L: PRO
1947-03-26 | w: WAS | L: CHS
1947-03-26 | w: BOS | L: PIT
1947-03-26 | w: BOM | L: DEF
1947-03-27 | w: PHW | L: CHS
1947-03-28 | w: HUS | L: NYK
1947-03-29 | w: PRO | L: CHS
1947-03-29 | w: DEF | L: HUS
1947-03-29 | w: BOM | L: BOS
1947-03-29 | w: WAS | L: CLR
1947-03-30 | w: PHW | L: NYK
1947-03-30 | w: BOS | L: CLR
1947-03-31 | w: CHS | L: BOM
============ End of Regular Season ============
1947-04-02 | w: CHS | L: WAS
1947-04-02 | w: CLR | L: NYK
1947-04-02 | w: PHW | L: BOM
1947-04-03 | w: CHS | L: WAS
1947-04-05 | w: BOM | L: PHW
1947-04-05 | w: NYK | L: CLR
1947-04-06 | w: PHW | L: BOM
1947-04-08 | w: CHS | L: WAS
1947-04-09 | w: NYK | L: CLR
1947-04-10 | w: WAS | L: CHS
1947-04-12 | w: PHW | L: NYK
1947-04-12 | w: WAS | L: CHS
1947-04-13 | w: CHS | L: WAS
1947-04-14 | w: PHW | L: NYK
1947-04-16 | w: PHW | L: CHS
1947-04-17 | w: PHW | L: CHS
1947-04-19 | w: PHW | L: CHS
1947-04-20 | w: CHS | L: PHW
1947-04-22 | w: PHW | L: CHS
============ End of Playoffs ============
