============ Start of Season ============
1979-11-27 | w: BKN | L: MIL
1979-11-27 | w: SAC | L: HOU
1979-11-27 | w: LAL | L: UTA
1979-11-27 | w: ATL | L: SAS
1979-11-27 | w: LAC | L: CHI
1979-11-27 | w: NYK | L: DET
1979-11-28 | w: ATL | L: POR
1979-11-28 | w: BOS | L: DEN
1979-11-28 | w: LAC | L: GSW
1979-11-28 | w: OKC | L: PHX
1979-11-28 | w: PHI | L: WAS
1979-11-28 | w: MIL | L: IND
1979-11-28 | w: BKN | L: DET
1979-11-28 | w: HOU | L: CLE
1979-11-29 | w: SAC | L: DET
1979-11-29 | w: CLE | L: NYK
1979-11-30 | w: CHI | L: LAL
1979-11-30 | w: BOS | L: NYK
1979-11-30 | w: UTA | L: GSW
1979-11-30 | w: IND | L: WAS
1979-11-30 | w: HOU | L: ATL
1979-11-30 | w: PHI | L: LAC
1979-11-30 | w: SAS | L: POR
1979-11-30 | w: BKN | L: DEN
1979-11-30 | w: OKC | L: SAC
1979-12-01 | w: ATL | L: LAC
1979-12-01 | w: MIL | L: GSW
1979-12-01 | w: NYK | L: DEN
1979-12-01 | w: DET | L: SAS
1979-12-01 | w: WAS | L: BKN
1979-12-01 | w: PHX | L: CHI
1979-12-01 | w: PHI | L: CLE
1979-12-01 | w: UTA | L: OKC
1979-12-01 | w: HOU | L: POR
1979-12-01 | w: BOS | L: IND
1979-12-02 | w: LAL | L: MIL
1979-12-02 | w: OKC | L: GSW
1979-12-02 | w: CLE | L: ATL
1979-12-02 | w: SAC | L: BOS
1979-12-03 | w: MIL | L: UTA
1979-12-04 | w: NYK | L: PHX
1979-12-04 | w: CLE | L: LAC
1979-12-04 | w: LAL | L: SAS
1979-12-04 | w: BOS | L: DET
1979-12-05 | w: ATL | L: BOS
1979-12-05 | w: GSW | L: CHI
1979-12-05 | w: NYK | L: WAS
1979-12-05 | w: OKC | L: UTA
1979-12-05 | w: LAL | L: HOU
1979-12-05 | w: PHI | L: SAS
1979-12-05 | w: SAC | L: DET
1979-12-05 | w: DEN | L: MIL
1979-12-05 | w: IND | L: CLE
1979-12-05 | w: BKN | L: PHX
1979-12-06 | w: LAC | L: GSW
1979-12-06 | w: UTA | L: POR
1979-12-07 | w: LAC | L: LAL
1979-12-07 | w: BOS | L: PHX
1979-12-07 | w: HOU | L: DET
1979-12-07 | w: SAS | L: MIL
1979-12-07 | w: CHI | L: POR
1979-12-08 | w: OKC | L: GSW
1979-12-08 | w: SAC | L: NYK
1979-12-08 | w: WAS | L: ATL
1979-12-08 | w: PHI | L: PHX
1979-12-08 | w: CLE | L: BOS
1979-12-08 | w: SAS | L: HOU
1979-12-08 | w: IND | L: DET
1979-12-08 | w: UTA | L: DEN
1979-12-09 | w: LAL | L: DEN
1979-12-09 | w: CHI | L: OKC
1979-12-09 | w: BOS | L: MIL
1979-12-09 | w: LAC | L: POR
1979-12-09 | w: ATL | L: BKN
1979-12-10 | w: UTA | L: GSW
1979-12-11 | w: PHX | L: WAS
1979-12-11 | w: CHI | L: POR
1979-12-11 | w: OKC | L: MIL
1979-12-11 | w: DEN | L: SAS
1979-12-11 | w: IND | L: NYK
1979-12-12 | w: ATL | L: NYK
1979-12-12 | w: BOS | L: BKN
1979-12-12 | w: DET | L: GSW
1979-12-12 | w: PHI | L: MIL
1979-12-12 | w: SAC | L: POR
1979-12-12 | w: OKC | L: IND
1979-12-12 | w: HOU | L: LAC
1979-12-13 | w: PHX | L: HOU
1979-12-13 | w: UTA | L: SAS
1979-12-13 | w: WAS | L: CLE
1979-12-14 | w: LAL | L: DET
1979-12-14 | w: BOS | L: MIL
1979-12-14 | w: OKC | L: HOU
1979-12-14 | w: ATL | L: PHI
1979-12-14 | w: SAC | L: UTA
1979-12-14 | w: IND | L: WAS
1979-12-14 | w: BKN | L: NYK
1979-12-14 | w: LAC | L: DEN
1979-12-15 | w: ATL | L: PHI
1979-12-15 | w: SAS | L: GSW
1979-12-15 | w: BOS | L: NYK
1979-12-15 | w: PHX | L: DET
1979-12-15 | w: POR | L: DEN
1979-12-15 | w: CLE | L: BKN
1979-12-15 | w: WAS | L: CHI
1979-12-16 | w: LAL | L: SAS
1979-12-16 | w: OKC | L: DEN
1979-12-16 | w: MIL | L: UTA
1979-12-16 | w: POR | L: HOU
1979-12-16 | w: SAC | L: IND
1979-12-16 | w: LAC | L: DET
1979-12-16 | w: BOS | L: BKN
1979-12-18 | w: NYK | L: ATL
1979-12-18 | w: PHI | L: DET
1979-12-18 | w: LAL | L: CHI
1979-12-18 | w: SAC | L: LAC
1979-12-18 | w: UTA | L: CLE
1979-12-19 | w: ATL | L: LAL
1979-12-19 | w: BOS | L: PHI
1979-12-19 | w: SAC | L: WAS
1979-12-19 | w: CHI | L: HOU
1979-12-19 | w: BKN | L: OKC
1979-12-19 | w: PHX | L: UTA
1979-12-19 | w: SAS | L: IND
1979-12-19 | w: DEN | L: POR
1979-12-19 | w: CLE | L: GSW
1979-12-20 | w: ATL | L: DET
1979-12-20 | w: MIL | L: SAC
1979-12-20 | w: LAC | L: NYK
1979-12-21 | w: LAL | L: GSW
1979-12-21 | w: BOS | L: SAS
1979-12-21 | w: OKC | L: NYK
1979-12-21 | w: PHX | L: CHI
1979-12-21 | w: POR | L: BKN
1979-12-21 | w: PHI | L: HOU
1979-12-21 | w: LAC | L: UTA
1979-12-22 | w: GSW | L: BKN
1979-12-22 | w: WAS | L: HOU
1979-12-22 | w: CHI | L: CLE
1979-12-22 | w: PHI | L: BOS
1979-12-22 | w: PHX | L: SAC
1979-12-22 | w: SAS | L: DET
1979-12-22 | w: DEN | L: LAL
1979-12-22 | w: IND | L: ATL
1979-12-23 | w: LAL | L: OKC
1979-12-23 | w: PHX | L: MIL
1979-12-23 | w: NYK | L: POR
1979-12-23 | w: LAC | L: UTA
1979-12-25 | w: NYK | L: BKN
1979-12-25 | w: PHI | L: WAS
1979-12-25 | w: POR | L: GSW
1979-12-25 | w: CLE | L: DET
1979-12-25 | w: UTA | L: DEN
1979-12-26 | w: IND | L: DET
1979-12-26 | w: HOU | L: SAS
1979-12-26 | w: OKC | L: LAC
1979-12-26 | w: PHX | L: POR
1979-12-26 | w: MIL | L: CHI
1979-12-26 | w: SAC | L: LAL
1979-12-26 | w: DEN | L: GSW
1979-12-26 | w: BKN | L: WAS
1979-12-27 | w: ATL | L: HOU
1979-12-27 | w: WAS | L: MIL
1979-12-27 | w: CLE | L: NYK
1979-12-27 | w: PHI | L: SAS
1979-12-27 | w: LAL | L: UTA
1979-12-27 | w: BOS | L: LAC
1979-12-28 | w: LAL | L: BOS
1979-12-28 | w: DET | L: DEN
1979-12-28 | w: OKC | L: POR
1979-12-28 | w: NYK | L: CHI
1979-12-28 | w: PHX | L: SAC
1979-12-28 | w: BKN | L: IND
1979-12-29 | w: ATL | L: DET
1979-12-29 | w: BOS | L: GSW
1979-12-29 | w: NYK | L: MIL
1979-12-29 | w: LAC | L: WAS
1979-12-29 | w: HOU | L: PHI
1979-12-29 | w: CLE | L: DEN
1979-12-29 | w: UTA | L: IND
1979-12-29 | w: SAS | L: SAC
1979-12-30 | w: LAL | L: PHX
1979-12-30 | w: UTA | L: MIL
1979-12-30 | w: OKC | L: POR
1980-01-01 | w: NYK | L: SAS
1980-01-01 | w: POR | L: WAS
1980-01-02 | w: GSW | L: POR
1980-01-02 | w: BOS | L: HOU
1980-01-02 | w: SAS | L: PHX
1980-01-02 | w: DEN | L: DET
1980-01-02 | w: LAL | L: IND
1980-01-02 | w: LAC | L: BKN
1980-01-02 | w: SAC | L: UTA
1980-01-02 | w: WAS | L: OKC
1980-01-03 | w: BKN | L: ATL
1980-01-03 | w: NYK | L: LAC
1980-01-03 | w: MIL | L: IND
1980-01-03 | w: PHI | L: CLE
1980-01-04 | w: WAS | L: GSW
1980-01-04 | w: OKC | L: DET
1980-01-04 | w: CHI | L: LAC
1980-01-04 | w: POR | L: UTA
1980-01-04 | w: SAC | L: SAS
1980-01-04 | w: BKN | L: HOU
1980-01-05 | w: SAC | L: ATL
1980-01-05 | w: OKC | L: GSW
1980-01-05 | w: NYK | L: CHI
1980-01-05 | w: HOU | L: PHX
1980-01-05 | w: MIL | L: CLE
1980-01-05 | w: WAS | L: UTA
1980-01-05 | w: SAS | L: BOS
1980-01-05 | w: DEN | L: IND
1980-01-06 | w: MIL | L: LAL
1980-01-06 | w: POR | L: DET
1980-01-06 | w: SAC | L: DEN
1980-01-06 | w: BKN | L: CLE
1980-01-06 | w: LAC | L: OKC
1980-01-08 | w: PHI | L: NYK
1980-01-08 | w: CHI | L: MIL
1980-01-08 | w: IND | L: POR
1980-01-08 | w: LAC | L: SAC
1980-01-08 | w: UTA | L: DET
1980-01-08 | w: SAS | L: DEN
1980-01-08 | w: HOU | L: CLE
1980-01-09 | w: ATL | L: CLE
1980-01-09 | w: BOS | L: NYK
1980-01-09 | w: WAS | L: LAL
1980-01-09 | w: OKC | L: IND
1980-01-09 | w: HOU | L: DEN
1980-01-09 | w: PHX | L: GSW
