============ Start of Season ============
1989-12-08 | w: PHX | L: MIL
1989-12-08 | w: DEN | L: BOS
1989-12-08 | w: BKN | L: HOU
1989-12-08 | w: MIA | L: ORL
1989-12-08 | w: IND | L: CHI
1989-12-08 | w: ATL | L: POR
1989-12-08 | w: SAS | L: DAL
1989-12-09 | w: ATL | L: MIN
1989-12-09 | w: NYK | L: BOS
1989-12-09 | w: DET | L: IND
1989-12-09 | w: WAS | L: LAL
1989-12-09 | w: OKC | L: LAC
1989-12-09 | w: CLE | L: SAC
1989-12-09 | w: SAS | L: BKN
1989-12-09 | w: UTA | L: HOU
1989-12-09 | w: DEN | L: CHA
1989-12-09 | w: CHI | L: PHI
1989-12-10 | w: ORL | L: LAL
1989-12-10 | w: MIL | L: POR
1989-12-11 | w: CLE | L: UTA
1989-12-12 | w: CHI | L: DAL
1989-12-12 | w: BKN | L: PHI
1989-12-12 | w: HOU | L: PHX
1989-12-12 | w: POR | L: LAC
1989-12-12 | w: ATL | L: SAS
1989-12-12 | w: IND | L: MIN
1989-12-12 | w: MIL | L: ORL
1989-12-12 | w: GSW | L: SAC
1989-12-12 | w: DET | L: DEN
1989-12-12 | w: LAL | L: CHA
1989-12-13 | w: PHI | L: ATL
1989-12-13 | w: GSW | L: DEN
1989-12-13 | w: BOS | L: OKC
1989-12-13 | w: CLE | L: MIL
1989-12-13 | w: LAC | L: DET
1989-12-13 | w: LAL | L: MIA
1989-12-13 | w: UTA | L: PHX
1989-12-13 | w: DAL | L: MIN
1989-12-14 | w: SAS | L: HOU
1989-12-14 | w: CHI | L: ORL
1989-12-14 | w: IND | L: BKN
1989-12-14 | w: WAS | L: CHA
1989-12-15 | w: DAL | L: PHI
1989-12-15 | w: PHX | L: HOU
1989-12-15 | w: LAL | L: BOS
1989-12-15 | w: CLE | L: OKC
1989-12-15 | w: GSW | L: POR
1989-12-15 | w: UTA | L: DET
1989-12-15 | w: NYK | L: ATL
1989-12-15 | w: MIL | L: IND
1989-12-15 | w: DEN | L: SAC
1989-12-15 | w: MIA | L: MIN
1989-12-16 | w: GSW | L: DET
1989-12-16 | w: NYK | L: OKC
1989-12-16 | w: WAS | L: DAL
1989-12-16 | w: CHI | L: CHA
1989-12-16 | w: MIA | L: MIL
1989-12-16 | w: SAS | L: ORL
1989-12-16 | w: LAL | L: BKN
1989-12-16 | w: LAC | L: DEN
1989-12-17 | w: HOU | L: ORL
1989-12-17 | w: POR | L: IND
1989-12-17 | w: PHX | L: SAC
1989-12-17 | w: UTA | L: MIN
1989-12-19 | w: BKN | L: MIA
1989-12-19 | w: CHI | L: LAL
1989-12-19 | w: NYK | L: UTA
1989-12-19 | w: DET | L: OKC
1989-12-19 | w: LAC | L: IND
1989-12-19 | w: POR | L: HOU
1989-12-19 | w: ATL | L: SAC
1989-12-19 | w: BOS | L: MIL
1989-12-19 | w: CHA | L: DAL
1989-12-19 | w: WAS | L: MIN
1989-12-20 | w: PHI | L: WAS
1989-12-20 | w: GSW | L: HOU
1989-12-20 | w: SAS | L: SAC
1989-12-20 | w: IND | L: PHX
1989-12-20 | w: BOS | L: UTA
1989-12-20 | w: DAL | L: BKN
1989-12-20 | w: DEN | L: CLE
1989-12-20 | w: ORL | L: CHI
1989-12-20 | w: LAL | L: MIN
1989-12-21 | w: ATL | L: MIA
1989-12-21 | w: OKC | L: POR
1989-12-22 | w: GSW | L: IND
1989-12-22 | w: SAS | L: PHX
1989-12-22 | w: PHI | L: BOS
1989-12-22 | w: DET | L: BKN
1989-12-22 | w: HOU | L: SAC
1989-12-22 | w: DEN | L: ORL
1989-12-22 | w: CHI | L: ATL
1989-12-22 | w: MIL | L: CLE
1989-12-22 | w: DAL | L: LAC
1989-12-22 | w: UTA | L: CHA
1989-12-22 | w: NYK | L: WAS
1989-12-23 | w: NYK | L: BKN
1989-12-23 | w: DET | L: ORL
1989-12-23 | w: IND | L: OKC
1989-12-23 | w: PHX | L: LAC
1989-12-23 | w: SAS | L: UTA
1989-12-23 | w: DAL | L: SAC
1989-12-23 | w: DEN | L: MIA
1989-12-23 | w: MIL | L: MIN
1989-12-23 | w: PHI | L: CHI
1989-12-25 | w: ATL | L: CLE
1989-12-26 | w: LAL | L: SAC
1989-12-26 | w: CHI | L: MIN
1989-12-26 | w: PHX | L: POR
1989-12-26 | w: BKN | L: WAS
1989-12-26 | w: BOS | L: LAC
1989-12-26 | w: NYK | L: MIA
1989-12-26 | w: UTA | L: GSW
1989-12-26 | w: IND | L: ORL
1989-12-26 | w: MIL | L: HOU
1989-12-26 | w: DEN | L: PHI
1989-12-26 | w: SAS | L: CHA
1989-12-27 | w: DET | L: CLE
1989-12-27 | w: IND | L: ORL
1989-12-27 | w: DAL | L: ATL
1989-12-27 | w: BOS | L: SAC
1989-12-27 | w: MIN | L: HOU
1989-12-27 | w: OKC | L: PHI
1989-12-27 | w: SAS | L: WAS
1989-12-28 | w: NYK | L: BKN
1989-12-28 | w: LAC | L: GSW
1989-12-28 | w: UTA | L: POR
1989-12-28 | w: DEN | L: MIA
1989-12-28 | w: CHA | L: CLE
1989-12-29 | w: LAL | L: GSW
1989-12-29 | w: CHI | L: SAS
1989-12-29 | w: MIL | L: DET
1989-12-29 | w: IND | L: HOU
1989-12-29 | w: POR | L: DAL
1989-12-29 | w: SAC | L: PHI
1989-12-29 | w: PHX | L: MIN
1989-12-29 | w: BOS | L: OKC
1989-12-30 | w: NYK | L: ORL
1989-12-30 | w: DET | L: BKN
1989-12-30 | w: MIL | L: MIN
1989-12-30 | w: CLE | L: PHX
1989-12-30 | w: UTA | L: MIA
1989-12-30 | w: IND | L: ATL
1989-12-30 | w: PHI | L: LAC
1989-12-30 | w: DAL | L: DEN
1989-12-30 | w: CHA | L: HOU
1989-12-30 | w: CHI | L: WAS
1990-01-02 | w: GSW | L: UTA
1990-01-02 | w: PHX | L: NYK
1990-01-02 | w: DET | L: ORL
1990-01-02 | w: POR | L: MIA
1990-01-02 | w: ATL | L: MIL
1990-01-02 | w: DAL | L: IND
1990-01-02 | w: LAC | L: MIN
1990-01-02 | w: WAS | L: BKN
1990-01-03 | w: SAS | L: PHI
1990-01-03 | w: LAL | L: DEN
1990-01-03 | w: BOS | L: WAS
1990-01-03 | w: MIL | L: BKN
1990-01-03 | w: CHI | L: CLE
1990-01-03 | w: HOU | L: IND
1990-01-03 | w: DET | L: LAC
1990-01-03 | w: UTA | L: OKC
1990-01-04 | w: GSW | L: MIA
1990-01-04 | w: NYK | L: ATL
1990-01-04 | w: PHX | L: DAL
1990-01-04 | w: DEN | L: SAC
1990-01-04 | w: MIN | L: CHA
1990-01-05 | w: LAC | L: BOS
1990-01-05 | w: CHI | L: ORL
1990-01-05 | w: POR | L: UTA
1990-01-05 | w: CLE | L: WAS
1990-01-05 | w: DET | L: IND
1990-01-05 | w: PHI | L: DAL
1990-01-05 | w: OKC | L: MIA
1990-01-06 | w: SAS | L: MIN
1990-01-06 | w: ATL | L: BKN
1990-01-06 | w: GSW | L: LAL
1990-01-06 | w: DET | L: NYK
1990-01-06 | w: BOS | L: WAS
1990-01-06 | w: OKC | L: PHX
1990-01-06 | w: MIL | L: CHI
1990-01-06 | w: POR | L: SAC
1990-01-06 | w: CHA | L: IND
1990-01-06 | w: CLE | L: ORL
1990-01-06 | w: UTA | L: DEN
1990-01-06 | w: HOU | L: PHI
1990-01-07 | w: LAL | L: MIA
1990-01-07 | w: NYK | L: LAC
1990-01-07 | w: BKN | L: ATL
1990-01-08 | w: PHI | L: IND
1990-01-08 | w: GSW | L: DEN
1990-01-08 | w: ORL | L: SAS
1990-01-08 | w: POR | L: SAC
1990-01-08 | w: MIL | L: CHA
1990-01-08 | w: DAL | L: OKC
1990-01-09 | w: NYK | L: WAS
1990-01-09 | w: PHX | L: LAL
1990-01-09 | w: BKN | L: BOS
1990-01-09 | w: HOU | L: OKC
1990-01-09 | w: DET | L: CHI
1990-01-09 | w: SAS | L: MIA
1990-01-09 | w: SAC | L: MIN
1990-01-09 | w: LAC | L: CHA
1990-01-10 | w: PHI | L: NYK
1990-01-10 | w: GSW | L: DAL
1990-01-10 | w: LAL | L: ORL
1990-01-10 | w: BOS | L: DET
1990-01-10 | w: MIL | L: CLE
1990-01-10 | w: UTA | L: DEN
1990-01-10 | w: IND | L: CHI
1990-01-10 | w: LAC | L: ATL
1990-01-11 | w: BKN | L: CHA
1990-01-11 | w: WAS | L: MIA
1990-01-11 | w: HOU | L: SAC
1990-01-11 | w: DEN | L: ORL
1990-01-11 | w: POR | L: MIN
1990-01-11 | w: OKC | L: DAL
1990-01-12 | w: CLE | L: PHI
1990-01-12 | w: LAL | L: HOU
1990-01-12 | w: PHX | L: SAC
1990-01-12 | w: SAS | L: BOS
1990-01-12 | w: DET | L: MIN
1990-01-12 | w: NYK | L: IND
1990-01-12 | w: LAC | L: MIL
1990-01-12 | w: CHI | L: CHA
1990-01-13 | w: GSW | L: ORL
1990-01-13 | w: NYK | L: SAS
1990-01-13 | w: DET | L: POR
1990-01-13 | w: OKC | L: ATL
1990-01-13 | w: CHI | L: LAC
1990-01-13 | w: CLE | L: BKN
1990-01-13 | w: IND | L: MIL
1990-01-13 | w: PHX | L: DEN
1990-01-13 | w: UTA | L: DAL
1990-01-13 | w: BOS | L: MIA
1990-01-13 | w: PHI | L: WAS
1990-01-14 | w: POR | L: BKN
1990-01-15 | w: LAL | L: SAC
1990-01-15 | w: NYK | L: CHI
1990-01-15 | w: PHX | L: CHA
1990-01-15 | w: CLE | L: SAS
1990-01-15 | w: IND | L: GSW
1990-01-15 | w: DEN | L: DAL
1990-01-15 | w: OKC | L: HOU
1990-01-15 | w: MIA | L: WAS
1990-01-16 | w: LAC | L: CHA
