============ Start of Season ============
1971-12-04 | w: MIL | L: CHI
1971-12-04 | w: OKC | L: SAC
1971-12-05 | w: LAL | L: POR
1971-12-05 | w: PHX | L: GSW
1971-12-05 | w: OKC | L: CLE
1971-12-07 | w: ATL | L: GSW
1971-12-07 | w: BOS | L: NYK
1971-12-07 | w: CHI | L: CLE
1971-12-07 | w: MIL | L: OKC
1971-12-07 | w: LAC | L: SAC
1971-12-07 | w: POR | L: DET
1971-12-08 | w: BOS | L: CLE
1971-12-08 | w: WAS | L: POR
1971-12-08 | w: LAL | L: HOU
1971-12-08 | w: PHI | L: SAC
1971-12-09 | w: LAL | L: GSW
1971-12-09 | w: DET | L: CHI
1971-12-09 | w: PHX | L: ATL
1971-12-10 | w: OKC | L: GSW
1971-12-10 | w: HOU | L: ATL
1971-12-10 | w: CHI | L: WAS
1971-12-10 | w: MIL | L: BOS
1971-12-10 | w: CLE | L: DET
1971-12-10 | w: POR | L: LAC
1971-12-10 | w: SAC | L: PHI
1971-12-10 | w: LAL | L: PHX
1971-12-11 | w: CHI | L: BOS
1971-12-11 | w: NYK | L: POR
1971-12-11 | w: PHI | L: DET
1971-12-11 | w: MIL | L: WAS
1971-12-11 | w: HOU | L: PHX
1971-12-11 | w: SAC | L: CLE
1971-12-12 | w: LAL | L: ATL
1971-12-12 | w: HOU | L: OKC
1971-12-12 | w: NYK | L: CLE
1971-12-12 | w: BOS | L: SAC
1971-12-14 | w: PHX | L: NYK
1971-12-14 | w: OKC | L: DET
1971-12-14 | w: CLE | L: WAS
1971-12-14 | w: BOS | L: CHI
1971-12-14 | w: MIL | L: HOU
1971-12-14 | w: LAL | L: POR
1971-12-14 | w: LAC | L: PHI
1971-12-15 | w: BOS | L: OKC
1971-12-15 | w: MIL | L: LAC
1971-12-15 | w: PHX | L: SAC
1971-12-15 | w: HOU | L: ATL
1971-12-16 | w: GSW | L: PHI
1971-12-16 | w: DET | L: SAC
1971-12-17 | w: LAL | L: GSW
1971-12-17 | w: WAS | L: ATL
1971-12-17 | w: HOU | L: CHI
1971-12-17 | w: PHX | L: DET
1971-12-17 | w: MIL | L: OKC
1971-12-17 | w: POR | L: PHI
1971-12-17 | w: BOS | L: CLE
1971-12-17 | w: NYK | L: LAC
1971-12-18 | w: ATL | L: WAS
1971-12-18 | w: BOS | L: LAC
1971-12-18 | w: GSW | L: DET
1971-12-18 | w: OKC | L: POR
1971-12-18 | w: LAL | L: PHX
1971-12-18 | w: HOU | L: SAC
1971-12-18 | w: NYK | L: CLE
1971-12-19 | w: LAL | L: PHI
1971-12-19 | w: ATL | L: SAC
1971-12-19 | w: MIL | L: WAS
1971-12-19 | w: POR | L: DET
1971-12-19 | w: CHI | L: CLE
1971-12-19 | w: OKC | L: PHX
1971-12-21 | w: NYK | L: GSW
1971-12-21 | w: CHI | L: DET
1971-12-21 | w: PHX | L: PHI
1971-12-21 | w: HOU | L: POR
1971-12-21 | w: LAL | L: LAC
1971-12-22 | w: DET | L: CLE
1971-12-22 | w: LAL | L: WAS
1971-12-22 | w: NYK | L: OKC
1971-12-22 | w: BOS | L: MIL
1971-12-22 | w: ATL | L: SAC
1971-12-23 | w: NYK | L: POR
1971-12-23 | w: CLE | L: ATL
1971-12-23 | w: CHI | L: PHX
1971-12-25 | w: ATL | L: LAC
1971-12-25 | w: NYK | L: GSW
1971-12-25 | w: PHX | L: OKC
1971-12-25 | w: CHI | L: POR
1971-12-25 | w: WAS | L: PHI
1971-12-25 | w: BOS | L: SAC
1971-12-25 | w: DET | L: MIL
1971-12-26 | w: LAL | L: HOU
1971-12-26 | w: CHI | L: OKC
1971-12-26 | w: MIL | L: ATL
1971-12-26 | w: CLE | L: WAS
1971-12-27 | w: ATL | L: POR
1971-12-27 | w: BOS | L: GSW
1971-12-27 | w: PHI | L: LAC
1971-12-28 | w: LAL | L: LAC
1971-12-28 | w: NYK | L: DET
1971-12-28 | w: WAS | L: SAC
1971-12-28 | w: CHI | L: MIL
1971-12-28 | w: BOS | L: PHI
1971-12-28 | w: CLE | L: POR
1971-12-29 | w: PHX | L: HOU
1971-12-29 | w: MIL | L: POR
1971-12-29 | w: CLE | L: PHI
1971-12-29 | w: GSW | L: SAC
1971-12-30 | w: WAS | L: NYK
1971-12-30 | w: GSW | L: DET
1971-12-30 | w: LAL | L: OKC
1971-12-30 | w: HOU | L: ATL
1971-12-30 | w: CHI | L: POR
1971-12-30 | w: PHX | L: LAC
1971-12-31 | w: BOS | L: PHI
1972-01-01 | w: NYK | L: SAC
1972-01-01 | w: OKC | L: LAC
1972-01-01 | w: PHX | L: BOS
1972-01-02 | w: LAL | L: BOS
1972-01-02 | w: DET | L: HOU
1972-01-02 | w: ATL | L: PHX
1972-01-02 | w: POR | L: LAC
1972-01-02 | w: PHI | L: CLE
1972-01-03 | w: NYK | L: MIL
1972-01-04 | w: MIL | L: NYK
1972-01-04 | w: GSW | L: LAC
1972-01-04 | w: PHI | L: DET
1972-01-04 | w: HOU | L: OKC
1972-01-04 | w: PHX | L: CHI
1972-01-04 | w: ATL | L: POR
