============ Start of Season ============
1985-11-29 | w: BOS | L: NYK
1985-11-29 | w: DET | L: MIL
1985-11-29 | w: PHX | L: HOU
1985-11-29 | w: POR | L: CHI
1985-11-29 | w: DEN | L: UTA
1985-11-29 | w: SAS | L: LAC
1985-11-29 | w: BKN | L: ATL
1985-11-29 | w: DAL | L: SAC
1985-11-29 | w: PHI | L: IND
1985-11-30 | w: BOS | L: ATL
1985-11-30 | w: UTA | L: GSW
1985-11-30 | w: WAS | L: DET
1985-11-30 | w: HOU | L: SAC
1985-11-30 | w: MIL | L: IND
1985-11-30 | w: CLE | L: BKN
1985-11-30 | w: DAL | L: LAC
1985-11-30 | w: OKC | L: DEN
1985-11-30 | w: PHI | L: NYK
1985-12-01 | w: LAL | L: CHI
1985-12-01 | w: SAS | L: POR
1985-12-02 | w: UTA | L: GSW
1985-12-03 | w: DAL | L: GSW
1985-12-03 | w: NYK | L: DEN
1985-12-03 | w: WAS | L: POR
1985-12-03 | w: HOU | L: PHX
1985-12-03 | w: OKC | L: SAS
1985-12-03 | w: BOS | L: MIL
1985-12-03 | w: IND | L: CLE
1985-12-03 | w: SAC | L: CHI
1985-12-03 | w: PHI | L: DET
1985-12-04 | w: ATL | L: POR
1985-12-04 | w: PHX | L: CHI
1985-12-04 | w: DEN | L: IND
1985-12-04 | w: BOS | L: BKN
1985-12-04 | w: LAC | L: SAC
1985-12-04 | w: LAL | L: UTA
1985-12-04 | w: PHI | L: WAS
1985-12-05 | w: GSW | L: LAC
1985-12-05 | w: MIL | L: NYK
1985-12-05 | w: DET | L: BKN
1985-12-05 | w: CLE | L: OKC
1985-12-05 | w: SAS | L: DAL
1985-12-06 | w: LAL | L: HOU
1985-12-06 | w: ATL | L: MIL
1985-12-06 | w: POR | L: BOS
1985-12-06 | w: WAS | L: OKC
1985-12-06 | w: PHX | L: UTA
1985-12-06 | w: CHI | L: SAS
1985-12-06 | w: IND | L: NYK
1985-12-06 | w: DEN | L: PHI
1985-12-07 | w: SAC | L: DET
1985-12-07 | w: HOU | L: CHI
1985-12-07 | w: CLE | L: DEN
1985-12-07 | w: UTA | L: LAC
1985-12-07 | w: BKN | L: POR
1985-12-07 | w: DAL | L: GSW
1985-12-08 | w: LAL | L: DAL
1985-12-08 | w: WAS | L: SAC
1985-12-08 | w: SAS | L: GSW
1985-12-08 | w: OKC | L: PHI
1985-12-10 | w: BOS | L: ATL
1985-12-10 | w: NYK | L: IND
1985-12-10 | w: HOU | L: UTA
1985-12-10 | w: SAS | L: CHI
1985-12-10 | w: MIL | L: OKC
1985-12-10 | w: POR | L: GSW
1985-12-10 | w: DET | L: CLE
1985-12-10 | w: BKN | L: SAC
1985-12-10 | w: LAC | L: DAL
1985-12-11 | w: ATL | L: OKC
1985-12-11 | w: BOS | L: SAC
1985-12-11 | w: PHX | L: GSW
1985-12-11 | w: WAS | L: DET
1985-12-11 | w: UTA | L: POR
1985-12-11 | w: IND | L: SAS
1985-12-11 | w: DEN | L: LAC
1985-12-11 | w: PHI | L: CLE
1985-12-12 | w: LAL | L: PHX
1985-12-12 | w: BKN | L: NYK
1985-12-12 | w: HOU | L: DAL
1985-12-12 | w: WAS | L: MIL
1985-12-12 | w: CHI | L: PHI
1985-12-13 | w: SAS | L: DET
1985-12-13 | w: OKC | L: LAC
1985-12-13 | w: CLE | L: MIL
1985-12-13 | w: DEN | L: LAL
1985-12-13 | w: IND | L: ATL
1985-12-13 | w: POR | L: GSW
1985-12-14 | w: NYK | L: SAS
1985-12-14 | w: SAC | L: CHI
1985-12-14 | w: CLE | L: BOS
1985-12-14 | w: UTA | L: HOU
1985-12-14 | w: PHX | L: LAC
1985-12-14 | w: BKN | L: IND
1985-12-14 | w: DAL | L: DEN
1985-12-14 | w: ATL | L: PHI
1985-12-15 | w: LAL | L: DET
1985-12-15 | w: BOS | L: CHI
1985-12-15 | w: GSW | L: OKC
1985-12-15 | w: MIL | L: SAC
1985-12-17 | w: ATL | L: BKN
1985-12-17 | w: LAL | L: NYK
1985-12-17 | w: UTA | L: WAS
1985-12-17 | w: PHX | L: OKC
1985-12-17 | w: CHI | L: BOS
1985-12-17 | w: HOU | L: CLE
1985-12-17 | w: SAC | L: DET
1985-12-17 | w: SAS | L: POR
1985-12-17 | w: DEN | L: GSW
1985-12-17 | w: PHI | L: IND
1985-12-18 | w: BOS | L: DAL
1985-12-18 | w: LAL | L: MIL
1985-12-18 | w: LAC | L: GSW
1985-12-18 | w: BKN | L: UTA
1985-12-18 | w: PHI | L: HOU
1985-12-19 | w: DAL | L: ATL
1985-12-19 | w: CLE | L: NYK
1985-12-19 | w: DET | L: OKC
1985-12-19 | w: WAS | L: CHI
1985-12-19 | w: PHX | L: SAC
1985-12-19 | w: DEN | L: POR
1985-12-20 | w: LAL | L: CLE
1985-12-20 | w: SAS | L: LAC
1985-12-20 | w: IND | L: MIL
1985-12-20 | w: BKN | L: HOU
1985-12-20 | w: PHI | L: UTA
1985-12-21 | w: ATL | L: HOU
1985-12-21 | w: NYK | L: DET
1985-12-21 | w: LAL | L: WAS
1985-12-21 | w: POR | L: OKC
1985-12-21 | w: CHI | L: UTA
1985-12-21 | w: PHX | L: GSW
1985-12-21 | w: MIL | L: DAL
1985-12-21 | w: LAC | L: SAC
1985-12-21 | w: BKN | L: IND
1985-12-21 | w: SAS | L: DEN
1985-12-21 | w: PHI | L: BOS
1985-12-22 | w: NYK | L: WAS
1985-12-22 | w: POR | L: DEN
1985-12-22 | w: CLE | L: DAL
1985-12-23 | w: BKN | L: CLE
1985-12-25 | w: POR | L: LAC
1985-12-25 | w: NYK | L: BOS
1985-12-26 | w: GSW | L: SAC
1985-12-26 | w: HOU | L: UTA
1985-12-26 | w: NYK | L: CHI
1985-12-26 | w: DAL | L: PHX
1985-12-26 | w: MIL | L: IND
1985-12-26 | w: SAS | L: LAL
1985-12-26 | w: BKN | L: DET
1985-12-26 | w: PHI | L: LAC
1985-12-27 | w: CLE | L: DET
1985-12-27 | w: WAS | L: ATL
1985-12-27 | w: OKC | L: GSW
1985-12-27 | w: POR | L: DAL
1985-12-28 | w: ATL | L: NYK
1985-12-28 | w: LAC | L: OKC
1985-12-28 | w: HOU | L: POR
1985-12-28 | w: CHI | L: IND
1985-12-28 | w: LAL | L: SAC
1985-12-28 | w: SAS | L: DEN
1985-12-28 | w: BOS | L: UTA
1985-12-28 | w: WAS | L: BKN
1985-12-28 | w: MIL | L: CLE
1985-12-28 | w: PHI | L: PHX
1985-12-29 | w: GSW | L: LAL
1985-12-30 | w: IND | L: WAS
1985-12-30 | w: MIL | L: DET
1985-12-30 | w: POR | L: SAS
1985-12-30 | w: CHI | L: CLE
1985-12-30 | w: UTA | L: OKC
1985-12-30 | w: DEN | L: HOU
1985-12-30 | w: BOS | L: LAC
1985-12-30 | w: BKN | L: NYK
1985-12-30 | w: PHI | L: SAC
1986-01-01 | w: PHI | L: POR
1986-01-02 | w: HOU | L: GSW
1986-01-02 | w: WAS | L: NYK
1986-01-02 | w: CHI | L: DET
1986-01-02 | w: SAC | L: SAS
1986-01-02 | w: BOS | L: IND
1986-01-03 | w: LAL | L: UTA
1986-01-03 | w: ATL | L: DET
1986-01-03 | w: BOS | L: BKN
1986-01-03 | w: MIL | L: WAS
1986-01-03 | w: OKC | L: DEN
1986-01-03 | w: POR | L: PHX
1986-01-03 | w: CLE | L: LAC
1986-01-04 | w: SAS | L: GSW
1986-01-04 | w: ATL | L: CHI
1986-01-04 | w: MIL | L: NYK
1986-01-04 | w: SAC | L: DEN
1986-01-04 | w: IND | L: LAC
1986-01-04 | w: BKN | L: CLE
1986-01-04 | w: DAL | L: UTA
1986-01-04 | w: HOU | L: PHI
1986-01-05 | w: LAL | L: WAS
1986-01-05 | w: POR | L: GSW
1986-01-06 | w: PHX | L: OKC
1986-01-06 | w: SAC | L: WAS
1986-01-06 | w: PHI | L: SAS
1986-01-07 | w: ATL | L: LAC
1986-01-07 | w: NYK | L: IND
1986-01-07 | w: DET | L: BOS
1986-01-07 | w: OKC | L: UTA
1986-01-07 | w: HOU | L: GSW
1986-01-07 | w: BKN | L: CHI
1986-01-07 | w: MIL | L: CLE
1986-01-07 | w: DEN | L: DAL
1986-01-08 | w: LAL | L: POR
1986-01-08 | w: BOS | L: CLE
1986-01-08 | w: PHX | L: WAS
1986-01-08 | w: SAC | L: IND
1986-01-08 | w: BKN | L: MIL
1986-01-08 | w: PHI | L: LAC
1986-01-09 | w: ATL | L: DET
1986-01-09 | w: HOU | L: SAS
1986-01-09 | w: WAS | L: UTA
1986-01-09 | w: DEN | L: OKC
1986-01-10 | w: LAL | L: IND
1986-01-10 | w: BOS | L: ATL
1986-01-10 | w: MIL | L: POR
1986-01-10 | w: SAS | L: GSW
1986-01-10 | w: LAC | L: BKN
1986-01-10 | w: DAL | L: PHX
1986-01-10 | w: PHI | L: SAC
1986-01-11 | w: POR | L: NYK
1986-01-11 | w: HOU | L: WAS
1986-01-11 | w: OKC | L: LAL
1986-01-11 | w: CHI | L: LAC
1986-01-11 | w: PHX | L: IND
1986-01-11 | w: CLE | L: SAC
1986-01-11 | w: DEN | L: UTA
1986-01-11 | w: DAL | L: GSW
1986-01-11 | w: PHI | L: DET
1986-01-12 | w: UTA | L: SAS
1986-01-13 | w: GSW | L: IND
1986-01-13 | w: NYK | L: SAC
1986-01-13 | w: WAS | L: LAC
1986-01-13 | w: DAL | L: OKC
1986-01-13 | w: PHX | L: SAS
1986-01-13 | w: DEN | L: MIL
1986-01-14 | w: LAL | L: PHX
1986-01-14 | w: ATL | L: SAC
1986-01-14 | w: UTA | L: HOU
1986-01-14 | w: WAS | L: CHI
1986-01-14 | w: POR | L: CLE
1986-01-14 | w: PHI | L: BKN
1986-01-15 | w: BOS | L: DEN
1986-01-15 | w: GSW | L: UTA
1986-01-15 | w: DET | L: CHI
1986-01-15 | w: HOU | L: SAS
1986-01-15 | w: POR | L: IND
1986-01-15 | w: LAC | L: OKC
1986-01-15 | w: NYK | L: DAL
1986-01-15 | w: BKN | L: PHI
1986-01-16 | w: LAL | L: LAC
1986-01-16 | w: ATL | L: CLE
1986-01-16 | w: MIL | L: WAS
1986-01-17 | w: SAC | L: GSW
1986-01-17 | w: DET | L: DEN
1986-01-17 | w: WAS | L: BKN
1986-01-17 | w: PHX | L: OKC
1986-01-17 | w: SAS | L: NYK
1986-01-17 | w: UTA | L: DAL
1986-01-17 | w: BOS | L: IND
1986-01-17 | w: PHI | L: CHI
1986-01-18 | w: HOU | L: NYK
1986-01-18 | w: POR | L: PHX
1986-01-18 | w: CLE | L: IND
1986-01-18 | w: LAC | L: UTA
1986-01-18 | w: BKN | L: DEN
1986-01-18 | w: BOS | L: ATL
1986-01-18 | w: SAC | L: OKC
1986-01-19 | w: DET | L: LAL
1986-01-19 | w: WAS | L: CHI
1986-01-19 | w: MIL | L: GSW
1986-01-19 | w: SAS | L: POR
1986-01-19 | w: DAL | L: HOU
1986-01-20 | w: ATL | L: MIL
1986-01-20 | w: LAL | L: CHI
1986-01-20 | w: CLE | L: PHX
1986-01-20 | w: IND | L: DET
1986-01-20 | w: PHI | L: NYK
1986-01-21 | w: HOU | L: OKC
1986-01-21 | w: SAC | L: DAL
1986-01-21 | w: LAC | L: SAS
