============ Start of Season ============
1971-02-09 | w: BOS | L: CHI
1971-02-09 | w: LAL | L: CLE
1971-02-09 | w: ATL | L: NYK
1971-02-10 | w: ATL | L: BOS
1971-02-10 | w: GSW | L: OKC
1971-02-10 | w: LAC | L: NYK
1971-02-11 | w: OKC | L: SAC
1971-02-11 | w: HOU | L: GSW
1971-02-11 | w: MIL | L: LAL
1971-02-12 | w: ATL | L: NYK
1971-02-12 | w: GSW | L: SAC
1971-02-12 | w: DET | L: PHI
1971-02-12 | w: CHI | L: LAL
1971-02-12 | w: POR | L: OKC
1971-02-12 | w: PHX | L: CLE
1971-02-12 | w: BOS | L: WAS
1971-02-13 | w: NYK | L: PHX
1971-02-13 | w: HOU | L: SAC
1971-02-13 | w: MIL | L: CHI
1971-02-13 | w: LAC | L: CLE
1971-02-14 | w: LAL | L: SAC
1971-02-14 | w: MIL | L: ATL
1971-02-14 | w: BOS | L: DET
1971-02-14 | w: WAS | L: PHI
1971-02-14 | w: OKC | L: GSW
1971-02-14 | w: CHI | L: CLE
1971-02-14 | w: PHX | L: LAC
1971-02-16 | w: LAL | L: NYK
1971-02-16 | w: PHX | L: BOS
1971-02-16 | w: DET | L: WAS
1971-02-16 | w: CHI | L: ATL
1971-02-16 | w: SAC | L: POR
1971-02-16 | w: MIL | L: LAC
1971-02-17 | w: BOS | L: GSW
1971-02-17 | w: LAC | L: WAS
1971-02-17 | w: OKC | L: POR
1971-02-17 | w: PHX | L: SAC
1971-02-17 | w: MIL | L: PHI
1971-02-17 | w: CHI | L: CLE
1971-02-18 | w: NYK | L: HOU
1971-02-18 | w: LAL | L: POR
1971-02-19 | w: PHI | L: LAL
1971-02-19 | w: HOU | L: GSW
1971-02-19 | w: MIL | L: OKC
1971-02-19 | w: PHX | L: BOS
1971-02-19 | w: CLE | L: SAC
1971-02-19 | w: WAS | L: LAC
1971-02-19 | w: CHI | L: DET
1971-02-20 | w: MIL | L: GSW
1971-02-20 | w: NYK | L: DET
1971-02-20 | w: ATL | L: WAS
1971-02-20 | w: HOU | L: BOS
1971-02-20 | w: PHI | L: POR
1971-02-20 | w: SAC | L: LAC
1971-02-21 | w: LAL | L: BOS
1971-02-21 | w: WAS | L: ATL
1971-02-21 | w: CHI | L: DET
1971-02-21 | w: OKC | L: PHI
1971-02-21 | w: MIL | L: PHX
1971-02-21 | w: POR | L: CLE
1971-02-22 | w: GSW | L: LAC
1971-02-23 | w: HOU | L: NYK
1971-02-23 | w: LAL | L: WAS
1971-02-23 | w: MIL | L: GSW
1971-02-23 | w: PHI | L: POR
1971-02-24 | w: ATL | L: POR
1971-02-24 | w: BOS | L: LAL
1971-02-24 | w: GSW | L: DET
1971-02-24 | w: OKC | L: CLE
1971-02-24 | w: MIL | L: HOU
1971-02-24 | w: NYK | L: SAC
1971-02-26 | w: LAL | L: OKC
1971-02-26 | w: WAS | L: POR
1971-02-26 | w: MIL | L: SAC
1971-02-26 | w: PHX | L: PHI
1971-02-26 | w: BOS | L: ATL
1971-02-26 | w: DET | L: LAC
1971-02-27 | w: ATL | L: LAC
1971-02-27 | w: LAL | L: GSW
1971-02-27 | w: NYK | L: POR
1971-02-27 | w: PHX | L: DET
1971-02-27 | w: CHI | L: OKC
1971-02-28 | w: LAL | L: CLE
1971-02-28 | w: DET | L: ATL
1971-02-28 | w: MIL | L: BOS
1971-02-28 | w: NYK | L: WAS
1971-02-28 | w: PHI | L: SAC
1971-03-01 | w: CHI | L: SAC
1971-03-01 | w: MIL | L: PHI
1971-03-02 | w: NYK | L: WAS
1971-03-02 | w: DET | L: POR
1971-03-02 | w: ATL | L: OKC
1971-03-02 | w: HOU | L: PHI
1971-03-02 | w: LAL | L: LAC
1971-03-03 | w: PHI | L: POR
1971-03-03 | w: BOS | L: HOU
1971-03-03 | w: ATL | L: GSW
1971-03-03 | w: PHX | L: CHI
1971-03-03 | w: MIL | L: LAL
1971-03-03 | w: SAC | L: WAS
1971-03-04 | w: MIL | L: LAC
1971-03-05 | w: CHI | L: GSW
1971-03-05 | w: ATL | L: LAL
1971-03-05 | w: MIL | L: DET
1971-03-05 | w: OKC | L: HOU
1971-03-05 | w: PHI | L: NYK
1971-03-05 | w: SAC | L: POR
1971-03-06 | w: CHI | L: HOU
1971-03-06 | w: GSW | L: WAS
1971-03-06 | w: NYK | L: BOS
1971-03-06 | w: OKC | L: LAL
1971-03-06 | w: PHI | L: DET
1971-03-06 | w: LAC | L: CLE
1971-03-07 | w: LAL | L: CHI
1971-03-07 | w: ATL | L: SAC
1971-03-07 | w: NYK | L: BOS
1971-03-07 | w: CLE | L: DET
1971-03-07 | w: HOU | L: POR
1971-03-07 | w: WAS | L: PHX
1971-03-08 | w: MIL | L: OKC
1971-03-08 | w: LAC | L: POR
1971-03-09 | w: WAS | L: LAL
1971-03-09 | w: BOS | L: GSW
1971-03-09 | w: OKC | L: NYK
1971-03-09 | w: PHX | L: DET
1971-03-09 | w: HOU | L: LAC
1971-03-09 | w: PHI | L: CLE
1971-03-09 | w: CHI | L: MIL
1971-03-10 | w: ATL | L: PHX
1971-03-10 | w: SAC | L: NYK
