============ Start of Season ============
1988-02-04 | w: SAC | L: DAL
1988-02-04 | w: DEN | L: SAS
1988-02-04 | w: LAL | L: LAC
1988-02-04 | w: GSW | L: CLE
1988-02-04 | w: IND | L: PHI
1988-02-09 | w: IND | L: LAL
1988-02-09 | w: GSW | L: SAC
1988-02-09 | w: HOU | L: BOS
1988-02-09 | w: DET | L: CHI
1988-02-09 | w: PHX | L: LAC
1988-02-09 | w: MIL | L: CLE
1988-02-09 | w: POR | L: OKC
1988-02-09 | w: DEN | L: SAS
1988-02-09 | w: DAL | L: UTA
1988-02-09 | w: WAS | L: BKN
1988-02-09 | w: ATL | L: PHI
1988-02-10 | w: DET | L: NYK
1988-02-10 | w: CLE | L: WAS
1988-02-10 | w: UTA | L: DAL
1988-02-10 | w: BOS | L: SAS
1988-02-10 | w: BKN | L: CHI
1988-02-10 | w: LAC | L: PHX
1988-02-11 | w: IND | L: GSW
1988-02-11 | w: OKC | L: HOU
1988-02-11 | w: SAC | L: POR
1988-02-11 | w: LAL | L: DEN
1988-02-11 | w: PHI | L: MIL
1988-02-12 | w: DET | L: ATL
1988-02-12 | w: IND | L: PHX
1988-02-12 | w: CHI | L: MIL
1988-02-12 | w: POR | L: DEN
1988-02-12 | w: CLE | L: BKN
1988-02-12 | w: LAL | L: SAS
1988-02-12 | w: HOU | L: LAC
1988-02-12 | w: BOS | L: DAL
1988-02-13 | w: ATL | L: WAS
1988-02-13 | w: GSW | L: OKC
1988-02-13 | w: NYK | L: CLE
1988-02-13 | w: DET | L: CHI
1988-02-13 | w: PHX | L: SAC
1988-02-14 | w: LAL | L: BOS
1988-02-14 | w: HOU | L: POR
1988-02-14 | w: DEN | L: UTA
1988-02-14 | w: DAL | L: LAC
1988-02-14 | w: BKN | L: PHI
1988-02-15 | w: NYK | L: BKN
1988-02-15 | w: MIL | L: WAS
1988-02-15 | w: CHI | L: ATL
1988-02-15 | w: BOS | L: PHX
1988-02-15 | w: CLE | L: SAC
1988-02-15 | w: GSW | L: SAS
1988-02-15 | w: UTA | L: POR
1988-02-15 | w: DAL | L: OKC
1988-02-15 | w: DET | L: PHI
1988-02-16 | w: LAL | L: LAC
1988-02-16 | w: SAC | L: ATL
1988-02-16 | w: HOU | L: GSW
1988-02-16 | w: IND | L: NYK
1988-02-17 | w: MIL | L: OKC
1988-02-17 | w: UTA | L: PHX
1988-02-17 | w: DEN | L: BOS
1988-02-17 | w: POR | L: LAC
1988-02-17 | w: DAL | L: WAS
1988-02-17 | w: CLE | L: PHI
1988-02-18 | w: NYK | L: SAC
1988-02-18 | w: DET | L: OKC
1988-02-18 | w: LAL | L: HOU
1988-02-18 | w: SAS | L: PHX
1988-02-18 | w: IND | L: CLE
1988-02-19 | w: CHI | L: SAC
1988-02-19 | w: MIL | L: DET
1988-02-19 | w: BOS | L: POR
1988-02-19 | w: WAS | L: SAS
1988-02-19 | w: UTA | L: LAC
1988-02-19 | w: DAL | L: GSW
1988-02-19 | w: LAL | L: ATL
1988-02-19 | w: PHI | L: BKN
1988-02-20 | w: HOU | L: WAS
1988-02-20 | w: PHX | L: DEN
1988-02-20 | w: UTA | L: LAC
1988-02-20 | w: OKC | L: BKN
1988-02-21 | w: LAL | L: DET
1988-02-21 | w: ATL | L: OKC
1988-02-21 | w: POR | L: SAS
1988-02-21 | w: CLE | L: CHI
1988-02-21 | w: IND | L: SAC
