============ Start of Season ============
1967-01-25 | w: LAL | L: WAS
1967-01-25 | w: BOS | L: DET
1967-01-25 | w: ATL | L: CHI
1967-01-25 | w: SAC | L: NYK
1967-01-26 | w: DET | L: SAC
1967-01-27 | w: BOS | L: DET
1967-01-27 | w: GSW | L: WAS
1967-01-27 | w: PHI | L: SAC
1967-01-28 | w: LAL | L: WAS
1967-01-28 | w: BOS | L: NYK
1967-01-28 | w: SAC | L: ATL
1967-01-29 | w: ATL | L: PHI
1967-01-29 | w: BOS | L: NYK
1967-01-29 | w: LAL | L: CHI
1967-01-29 | w: SAC | L: GSW
1967-01-30 | w: ATL | L: LAL
1967-01-30 | w: BOS | L: GSW
1967-01-31 | w: GSW | L: DET
1967-01-31 | w: NYK | L: ATL
1967-02-01 | w: LAL | L: PHI
1967-02-01 | w: DET | L: NYK
1967-02-01 | w: BOS | L: WAS
1967-02-02 | w: GSW | L: PHI
1967-02-02 | w: SAC | L: WAS
1967-02-03 | w: NYK | L: DET
1967-02-03 | w: LAL | L: GSW
1967-02-03 | w: ATL | L: BOS
1967-02-03 | w: CHI | L: SAC
1967-02-04 | w: ATL | L: CHI
1967-02-04 | w: PHI | L: GSW
1967-02-04 | w: NYK | L: DET
1967-02-04 | w: WAS | L: SAC
1967-02-05 | w: PHI | L: LAL
1967-02-05 | w: BOS | L: SAC
1967-02-05 | w: DET | L: ATL
1967-02-05 | w: GSW | L: CHI
1967-02-06 | w: WAS | L: ATL
1967-02-07 | w: ATL | L: WAS
1967-02-07 | w: LAL | L: NYK
1967-02-07 | w: DET | L: CHI
1967-02-07 | w: PHI | L: GSW
1967-02-07 | w: BOS | L: SAC
1967-02-08 | w: LAL | L: WAS
1967-02-08 | w: NYK | L: CHI
1967-02-08 | w: PHI | L: SAC
1967-02-09 | w: WAS | L: BOS
1967-02-10 | w: NYK | L: CHI
1967-02-10 | w: PHI | L: LAL
1967-02-10 | w: SAC | L: DET
1967-02-10 | w: BOS | L: GSW
1967-02-11 | w: SAC | L: DET
1967-02-11 | w: WAS | L: PHI
1967-02-11 | w: ATL | L: CHI
1967-02-11 | w: NYK | L: GSW
1967-02-12 | w: LAL | L: CHI
1967-02-12 | w: ATL | L: SAC
1967-02-12 | w: BOS | L: PHI
1967-02-12 | w: DET | L: GSW
1967-02-13 | w: ATL | L: NYK
1967-02-13 | w: PHI | L: SAC
1967-02-14 | w: GSW | L: BOS
1967-02-15 | w: LAL | L: BOS
1967-02-15 | w: PHI | L: DET
