============ Start of Season ============
1990-12-30 | w: MIA | L: LAC
1990-12-30 | w: MIL | L: POR
1990-12-30 | w: MIN | L: OKC
1991-01-02 | w: MIL | L: CHA
1991-01-02 | w: BOS | L: NYK
1991-01-02 | w: PHX | L: CLE
1991-01-02 | w: DET | L: DEN
1991-01-02 | w: UTA | L: MIA
1991-01-02 | w: IND | L: SAS
1991-01-02 | w: ATL | L: LAC
1991-01-02 | w: MIN | L: DAL
1991-01-02 | w: OKC | L: PHI
1991-01-03 | w: NYK | L: DEN
1991-01-03 | w: HOU | L: CHI
1991-01-03 | w: ORL | L: LAC
1991-01-03 | w: LAL | L: POR
1991-01-03 | w: MIL | L: DAL
1991-01-03 | w: SAC | L: GSW
1991-01-03 | w: WAS | L: CHA
1991-01-04 | w: GSW | L: LAL
1991-01-04 | w: BOS | L: PHX
1991-01-04 | w: SAS | L: BKN
1991-01-04 | w: DET | L: CLE
1991-01-04 | w: UTA | L: PHI
1991-01-04 | w: ATL | L: IND
1991-01-04 | w: WAS | L: MIN
1991-01-04 | w: OKC | L: MIA
1991-01-05 | w: DET | L: BKN
1991-01-05 | w: HOU | L: IND
1991-01-05 | w: CHI | L: CLE
1991-01-05 | w: MIL | L: PHX
1991-01-05 | w: POR | L: MIA
1991-01-05 | w: UTA | L: SAC
1991-01-05 | w: SAS | L: ORL
1991-01-05 | w: CHA | L: LAC
1991-01-05 | w: ATL | L: MIN
1991-01-05 | w: PHI | L: DEN
1991-01-06 | w: LAL | L: GSW
1991-01-06 | w: NYK | L: LAC
1991-01-06 | w: BOS | L: DAL
1991-01-06 | w: POR | L: OKC
1991-01-07 | w: SAS | L: PHI
1991-01-07 | w: DAL | L: BKN
1991-01-07 | w: ORL | L: SAC
1991-01-07 | w: PHX | L: MIN
1991-01-08 | w: GSW | L: DEN
1991-01-08 | w: CHI | L: BKN
1991-01-08 | w: BOS | L: NYK
1991-01-08 | w: POR | L: HOU
1991-01-08 | w: MIA | L: SAC
1991-01-08 | w: UTA | L: CLE
1991-01-08 | w: LAC | L: IND
1991-01-08 | w: ATL | L: SAS
1991-01-08 | w: MIL | L: WAS
1991-01-08 | w: DET | L: CHA
1991-01-08 | w: OKC | L: LAL
1991-01-09 | w: CHI | L: PHI
1991-01-09 | w: LAL | L: UTA
1991-01-09 | w: BOS | L: MIL
1991-01-09 | w: PHX | L: CLE
1991-01-09 | w: MIN | L: ORL
1991-01-09 | w: DAL | L: POR
1991-01-10 | w: SAS | L: ORL
1991-01-10 | w: IND | L: NYK
1991-01-10 | w: HOU | L: DEN
1991-01-10 | w: CHA | L: SAC
1991-01-10 | w: GSW | L: OKC
1991-01-10 | w: WAS | L: LAC
1991-01-11 | w: LAL | L: CLE
1991-01-11 | w: CHI | L: ATL
1991-01-11 | w: PHX | L: HOU
1991-01-11 | w: BOS | L: LAC
1991-01-11 | w: DET | L: POR
1991-01-11 | w: MIN | L: MIA
1991-01-11 | w: PHI | L: MIL
1991-01-11 | w: UTA | L: DAL
1991-01-12 | w: PHX | L: GSW
1991-01-12 | w: NYK | L: ATL
1991-01-12 | w: WAS | L: BOS
1991-01-12 | w: SAC | L: OKC
1991-01-12 | w: SAS | L: UTA
1991-01-12 | w: IND | L: MIL
1991-01-12 | w: DEN | L: CLE
1991-01-12 | w: ORL | L: DAL
1991-01-12 | w: CHI | L: CHA
1991-01-12 | w: DET | L: MIA
1991-01-12 | w: PHI | L: BKN
1991-01-13 | w: LAL | L: HOU
1991-01-13 | w: POR | L: BKN
1991-01-14 | w: CHI | L: MIL
1991-01-14 | w: LAC | L: HOU
1991-01-14 | w: ATL | L: NYK
1991-01-14 | w: DET | L: DAL
1991-01-15 | w: LAL | L: CHA
1991-01-15 | w: PHX | L: WAS
1991-01-15 | w: GSW | L: BKN
1991-01-15 | w: MIA | L: ORL
1991-01-15 | w: UTA | L: SAS
1991-01-15 | w: ATL | L: IND
1991-01-15 | w: POR | L: MIN
1991-01-15 | w: OKC | L: DEN
1991-01-16 | w: SAS | L: DAL
1991-01-16 | w: MIN | L: NYK
1991-01-16 | w: GSW | L: BOS
1991-01-16 | w: CLE | L: MIA
1991-01-16 | w: CHI | L: ORL
1991-01-16 | w: WAS | L: LAC
1991-01-16 | w: MIL | L: IND
1991-01-16 | w: DEN | L: CHA
1991-01-17 | w: DET | L: HOU
1991-01-17 | w: LAL | L: SAC
1991-01-18 | w: GSW | L: PHI
1991-01-18 | w: CHA | L: SAS
1991-01-18 | w: LAL | L: OKC
1991-01-18 | w: PHX | L: DET
1991-01-18 | w: BKN | L: BOS
1991-01-18 | w: UTA | L: CLE
1991-01-18 | w: MIA | L: NYK
1991-01-18 | w: POR | L: WAS
1991-01-18 | w: ATL | L: CHI
1991-01-18 | w: MIL | L: ORL
1991-01-18 | w: LAC | L: DAL
1991-01-19 | w: ATL | L: BKN
1991-01-19 | w: OKC | L: WAS
1991-01-19 | w: HOU | L: LAC
1991-01-19 | w: SAC | L: PHX
1991-01-19 | w: IND | L: UTA
1991-01-19 | w: SAS | L: DEN
1991-01-19 | w: DAL | L: CHA
1991-01-19 | w: MIN | L: GSW
1991-01-19 | w: NYK | L: PHI
1991-01-20 | w: POR | L: MIL
1991-01-21 | w: NYK | L: PHI
1991-01-21 | w: DET | L: BOS
1991-01-21 | w: CHI | L: MIA
1991-01-21 | w: LAL | L: IND
1991-01-21 | w: SAC | L: HOU
1991-01-21 | w: DEN | L: MIN
1991-01-21 | w: WAS | L: ORL
1991-01-22 | w: GSW | L: HOU
1991-01-22 | w: SAS | L: LAC
1991-01-22 | w: LAL | L: ORL
1991-01-22 | w: POR | L: PHX
1991-01-22 | w: ATL | L: MIA
1991-01-22 | w: BKN | L: CHA
1991-01-22 | w: OKC | L: MIL
1991-01-23 | w: IND | L: PHI
1991-01-23 | w: BOS | L: DET
1991-01-23 | w: BKN | L: CHI
1991-01-23 | w: NYK | L: UTA
1991-01-23 | w: CLE | L: DAL
1991-01-23 | w: SAC | L: MIL
1991-01-23 | w: WAS | L: ATL
1991-01-24 | w: SAS | L: CLE
1991-01-24 | w: HOU | L: MIN
1991-01-24 | w: DEN | L: NYK
1991-01-24 | w: LAL | L: CHA
1991-01-25 | w: GSW | L: MIL
1991-01-25 | w: PHI | L: BOS
1991-01-25 | w: CHI | L: MIA
1991-01-25 | w: PHX | L: OKC
1991-01-25 | w: LAL | L: BKN
1991-01-25 | w: DET | L: DAL
1991-01-25 | w: UTA | L: SAC
1991-01-25 | w: IND | L: WAS
1991-01-26 | w: DAL | L: WAS
1991-01-26 | w: OKC | L: ATL
1991-01-26 | w: HOU | L: CLE
1991-01-26 | w: PHX | L: NYK
1991-01-26 | w: POR | L: SAC
1991-01-26 | w: SAS | L: MIN
1991-01-26 | w: DEN | L: UTA
1991-01-26 | w: LAC | L: MIL
1991-01-26 | w: BKN | L: MIA
1991-01-26 | w: DET | L: ORL
1991-01-26 | w: CHA | L: PHI
1991-01-27 | w: LAL | L: BOS
1991-01-28 | w: GSW | L: NYK
1991-01-28 | w: SAS | L: OKC
1991-01-28 | w: DET | L: WAS
1991-01-28 | w: POR | L: ATL
1991-01-28 | w: SAC | L: BKN
1991-01-28 | w: BOS | L: MIN
1991-01-29 | w: LAL | L: BKN
1991-01-29 | w: CLE | L: CHA
1991-01-29 | w: HOU | L: SAS
1991-01-29 | w: ORL | L: PHX
1991-01-29 | w: NYK | L: LAC
