============ Start of Season ============
1979-11-23 | w: PHL | L: HOU
1979-11-23 | w: SAN | L: WAS
1979-11-23 | w: SAC | L: LAC
1979-11-24 | w: BOS | L: ATL
1979-11-24 | w: NYK | L: CLE
1979-11-24 | w: WAS | L: HOU
1979-11-24 | w: GOS | L: CHI
1979-11-24 | w: PHL | L: BKN
1979-11-24 | w: PHX | L: DEN
1979-11-24 | w: IND | L: DET
1979-11-25 | w: LAL | L: SAC
1979-11-25 | w: MIL | L: GOS
1979-11-25 | w: PHX | L: POR
1979-11-25 | w: CLE | L: BKN
1979-11-26 | w: PHL | L: IND
1979-11-27 | w: DEN | L: WAS
1979-11-27 | w: BKN | L: MIL
1979-11-27 | w: SAC | L: HOU
1979-11-27 | w: LAL | L: UTH
1979-11-27 | w: ATL | L: SAN
1979-11-27 | w: LAC | L: CHI
1979-11-27 | w: NYK | L: DET
1979-11-28 | w: ATL | L: POR
1979-11-28 | w: BOS | L: DEN
1979-11-28 | w: LAC | L: GOS
1979-11-28 | w: OKC | L: PHX
1979-11-28 | w: PHL | L: WAS
1979-11-28 | w: MIL | L: IND
1979-11-28 | w: BKN | L: DET
1979-11-28 | w: HOU | L: CLE
1979-11-29 | w: SAC | L: DET
1979-11-29 | w: CLE | L: NYK
1979-11-30 | w: CHI | L: LAL
1979-11-30 | w: BOS | L: NYK
1979-11-30 | w: UTH | L: GOS
1979-11-30 | w: IND | L: WAS
1979-11-30 | w: HOU | L: ATL
1979-11-30 | w: PHL | L: LAC
1979-11-30 | w: SAN | L: POR
1979-11-30 | w: BKN | L: DEN
1979-11-30 | w: OKC | L: SAC
1979-12-01 | w: ATL | L: LAC
1979-12-01 | w: MIL | L: GOS
1979-12-01 | w: NYK | L: DEN
1979-12-01 | w: DET | L: SAN
1979-12-01 | w: WAS | L: BKN
1979-12-01 | w: PHX | L: CHI
1979-12-01 | w: PHL | L: CLE
1979-12-01 | w: UTH | L: OKC
1979-12-01 | w: HOU | L: POR
1979-12-01 | w: BOS | L: IND
1979-12-02 | w: LAL | L: MIL
1979-12-02 | w: OKC | L: GOS
1979-12-02 | w: CLE | L: ATL
1979-12-02 | w: SAC | L: BOS
1979-12-03 | w: MIL | L: UTH
1979-12-04 | w: NYK | L: PHX
1979-12-04 | w: CLE | L: LAC
1979-12-04 | w: LAL | L: SAN
1979-12-04 | w: BOS | L: DET
1979-12-05 | w: ATL | L: BOS
1979-12-05 | w: GOS | L: CHI
1979-12-05 | w: NYK | L: WAS
1979-12-05 | w: OKC | L: UTH
1979-12-05 | w: LAL | L: HOU
1979-12-05 | w: PHL | L: SAN
1979-12-05 | w: SAC | L: DET
1979-12-05 | w: DEN | L: MIL
1979-12-05 | w: IND | L: CLE
1979-12-05 | w: BKN | L: PHX
1979-12-06 | w: LAC | L: GOS
1979-12-06 | w: UTH | L: POR
1979-12-07 | w: LAC | L: LAL
1979-12-07 | w: BOS | L: PHX
1979-12-07 | w: HOU | L: DET
1979-12-07 | w: SAN | L: MIL
1979-12-07 | w: CHI | L: POR
1979-12-08 | w: OKC | L: GOS
1979-12-08 | w: SAC | L: NYK
1979-12-08 | w: WAS | L: ATL
1979-12-08 | w: PHL | L: PHX
1979-12-08 | w: CLE | L: BOS
1979-12-08 | w: SAN | L: HOU
1979-12-08 | w: IND | L: DET
1979-12-08 | w: UTH | L: DEN
1979-12-09 | w: LAL | L: DEN
1979-12-09 | w: CHI | L: OKC
1979-12-09 | w: BOS | L: MIL
1979-12-09 | w: LAC | L: POR
1979-12-09 | w: ATL | L: BKN
1979-12-10 | w: UTH | L: GOS
1979-12-11 | w: PHX | L: WAS
1979-12-11 | w: CHI | L: POR
1979-12-11 | w: OKC | L: MIL
1979-12-11 | w: DEN | L: SAN
1979-12-11 | w: IND | L: NYK
1979-12-12 | w: ATL | L: NYK
1979-12-12 | w: BOS | L: BKN
1979-12-12 | w: DET | L: GOS
1979-12-12 | w: PHL | L: MIL
1979-12-12 | w: SAC | L: POR
1979-12-12 | w: OKC | L: IND
1979-12-12 | w: HOU | L: LAC
1979-12-13 | w: PHX | L: HOU
1979-12-13 | w: UTH | L: SAN
1979-12-13 | w: WAS | L: CLE
1979-12-14 | w: LAL | L: DET
1979-12-14 | w: BOS | L: MIL
1979-12-14 | w: OKC | L: HOU
1979-12-14 | w: ATL | L: PHL
1979-12-14 | w: SAC | L: UTH
1979-12-14 | w: IND | L: WAS
1979-12-14 | w: BKN | L: NYK
1979-12-14 | w: LAC | L: DEN
1979-12-15 | w: ATL | L: PHL
1979-12-15 | w: SAN | L: GOS
1979-12-15 | w: BOS | L: NYK
1979-12-15 | w: PHX | L: DET
1979-12-15 | w: POR | L: DEN
1979-12-15 | w: CLE | L: BKN
1979-12-15 | w: WAS | L: CHI
1979-12-16 | w: LAL | L: SAN
1979-12-16 | w: OKC | L: DEN
1979-12-16 | w: MIL | L: UTH
1979-12-16 | w: POR | L: HOU
1979-12-16 | w: SAC | L: IND
1979-12-16 | w: LAC | L: DET
1979-12-16 | w: BOS | L: BKN
1979-12-18 | w: NYK | L: ATL
1979-12-18 | w: PHL | L: DET
1979-12-18 | w: LAL | L: CHI
1979-12-18 | w: SAC | L: LAC
1979-12-18 | w: UTH | L: CLE
1979-12-19 | w: ATL | L: LAL
1979-12-19 | w: BOS | L: PHL
1979-12-19 | w: SAC | L: WAS
1979-12-19 | w: CHI | L: HOU
1979-12-19 | w: BKN | L: OKC
1979-12-19 | w: PHX | L: UTH
1979-12-19 | w: SAN | L: IND
1979-12-19 | w: DEN | L: POR
1979-12-19 | w: CLE | L: GOS
1979-12-20 | w: ATL | L: DET
1979-12-20 | w: MIL | L: SAC
1979-12-20 | w: LAC | L: NYK
1979-12-21 | w: LAL | L: GOS
1979-12-21 | w: BOS | L: SAN
1979-12-21 | w: OKC | L: NYK
1979-12-21 | w: PHX | L: CHI
1979-12-21 | w: POR | L: BKN
1979-12-21 | w: PHL | L: HOU
1979-12-21 | w: LAC | L: UTH
1979-12-22 | w: GOS | L: BKN
1979-12-22 | w: WAS | L: HOU
1979-12-22 | w: CHI | L: CLE
