============ Start of Season ============
1981-12-26 | w: NYK | L: IND
1981-12-26 | w: POR | L: LAC
1981-12-26 | w: WAS | L: BKN
1981-12-26 | w: DEN | L: DAL
1981-12-26 | w: BOS | L: SAC
1981-12-27 | w: LAL | L: LAC
1981-12-27 | w: MIL | L: CHI
1981-12-27 | w: PHX | L: PHL
1981-12-28 | w: OKC | L: GOS
1981-12-28 | w: IND | L: BKN
1981-12-29 | w: LAL | L: UTH
1981-12-29 | w: WAS | L: DET
1981-12-29 | w: ATL | L: HOU
1981-12-29 | w: NYK | L: CHI
1981-12-29 | w: SAN | L: LAC
1981-12-29 | w: MIL | L: IND
1981-12-29 | w: DEN | L: BOS
1981-12-29 | w: DAL | L: SAC
1981-12-29 | w: PHL | L: GOS
1981-12-30 | w: LAC | L: ATL
1981-12-30 | w: PHX | L: POR
1981-12-30 | w: MIL | L: WAS
1981-12-30 | w: SAC | L: DEN
1981-12-30 | w: BOS | L: UTH
1981-12-30 | w: SAN | L: HOU
1981-12-30 | w: BKN | L: DET
1981-12-30 | w: NYK | L: CLE
1981-12-30 | w: PHL | L: OKC
1982-01-01 | w: GOS | L: SAC
1982-01-01 | w: PHL | L: POR
1982-01-02 | w: ATL | L: BKN
1982-01-02 | w: GOS | L: DAL
1982-01-02 | w: NYK | L: DET
1982-01-02 | w: MIL | L: CHI
1982-01-02 | w: PHX | L: OKC
1982-01-02 | w: BOS | L: CLE
1982-01-02 | w: SAN | L: DEN
1982-01-02 | w: WAS | L: IND
1982-01-02 | w: HOU | L: LAC
1982-01-02 | w: PHL | L: UTH
1982-01-03 | w: OKC | L: LAL
1982-01-03 | w: DEN | L: MIL
1982-01-03 | w: POR | L: SAC
1982-01-05 | w: BKN | L: WAS
1982-01-05 | w: ATL | L: CLE
1982-01-05 | w: HOU | L: GOS
1982-01-05 | w: CHI | L: DEN
1982-01-05 | w: NYK | L: MIL
1982-01-05 | w: POR | L: SAN
1982-01-05 | w: IND | L: PHX
1982-01-05 | w: LAC | L: SAC
1982-01-05 | w: DET | L: PHL
1982-01-06 | w: CHI | L: BOS
1982-01-06 | w: OKC | L: DAL
1982-01-06 | w: UTH | L: SAN
1982-01-06 | w: DEN | L: LAC
1982-01-06 | w: MIL | L: BKN
1982-01-06 | w: PHL | L: WAS
1982-01-07 | w: SAN | L: GOS
1982-01-07 | w: PHX | L: DET
