============ Start of Season ============
1962-01-13 | w: SAC | L: DET
1962-01-13 | w: LAL | L: ATL
1962-01-13 | w: PHI | L: BOS
1962-01-14 | w: BOS | L: GSW
1962-01-14 | w: PHI | L: NYK
1962-01-14 | w: DET | L: LAL
1962-01-14 | w: SAC | L: ATL
1962-01-17 | w: BOS | L: DET
1962-01-17 | w: LAL | L: NYK
1962-01-17 | w: GSW | L: ATL
1962-01-18 | w: PHI | L: WAS
1962-01-18 | w: SAC | L: GSW
1962-01-19 | w: BOS | L: PHI
1962-01-19 | w: GSW | L: DET
1962-01-19 | w: ATL | L: WAS
1962-01-19 | w: LAL | L: NYK
1962-01-20 | w: GSW | L: DET
1962-01-20 | w: BOS | L: PHI
1962-01-20 | w: SAC | L: LAL
1962-01-20 | w: ATL | L: WAS
1962-01-21 | w: ATL | L: NYK
1962-01-21 | w: DET | L: BOS
1962-01-21 | w: GSW | L: PHI
1962-01-21 | w: LAL | L: WAS
1962-01-22 | w: SAC | L: DET
1962-01-22 | w: NYK | L: WAS
1962-01-23 | w: BOS | L: LAL
1962-01-23 | w: ATL | L: PHI
1962-01-23 | w: WAS | L: NYK
1962-01-24 | w: ATL | L: BOS
1962-01-24 | w: LAL | L: SAC
1962-01-24 | w: GSW | L: WAS
1962-01-24 | w: DET | L: PHI
1962-01-25 | w: DET | L: PHI
1962-01-25 | w: NYK | L: WAS
1962-01-25 | w: LAL | L: SAC
1962-01-26 | w: GSW | L: ATL
1962-01-26 | w: NYK | L: BOS
1962-01-27 | w: GSW | L: BOS
1962-01-27 | w: DET | L: NYK
1962-01-27 | w: PHI | L: WAS
1962-01-28 | w: LAL | L: WAS
1962-01-28 | w: SAC | L: PHI
1962-01-28 | w: ATL | L: DET
1962-01-28 | w: GSW | L: BOS
1962-01-30 | w: LAL | L: WAS
1962-01-30 | w: SAC | L: ATL
1962-01-30 | w: NYK | L: GSW
1962-01-31 | w: LAL | L: DET
1962-01-31 | w: PHI | L: NYK
1962-01-31 | w: BOS | L: WAS
1962-02-01 | w: BOS | L: LAL
1962-02-01 | w: GSW | L: SAC
1962-02-02 | w: BOS | L: SAC
1962-02-02 | w: GSW | L: NYK
1962-02-02 | w: PHI | L: ATL
1962-02-02 | w: WAS | L: DET
1962-02-03 | w: NYK | L: SAC
1962-02-03 | w: DET | L: WAS
1962-02-03 | w: PHI | L: GSW
1962-02-03 | w: LAL | L: ATL
1962-02-04 | w: BOS | L: NYK
1962-02-04 | w: GSW | L: PHI
1962-02-04 | w: DET | L: ATL
1962-02-04 | w: WAS | L: LAL
1962-02-05 | w: BOS | L: WAS
