============ Start of Season ============
1997-12-13 | w: DET | L: BOS
1997-12-13 | w: GSW | L: SAC
1997-12-14 | w: LAL | L: DAL
1997-12-14 | w: OKC | L: LAC
1997-12-14 | w: ATL | L: SAC
1997-12-14 | w: MEM | L: HOU
1997-12-15 | w: ATL | L: POR
1997-12-15 | w: CHI | L: PHX
1997-12-15 | w: IND | L: TOR
1997-12-15 | w: BOS | L: PHI
1997-12-15 | w: WAS | L: UTA
1997-12-16 | w: HOU | L: MEM
1997-12-16 | w: SAS | L: DEN
1997-12-16 | w: NYK | L: DET
1997-12-16 | w: UTA | L: MIA
1997-12-16 | w: SAC | L: POR
1997-12-16 | w: LAL | L: MIN
1997-12-16 | w: CLE | L: PHX
1997-12-16 | w: OKC | L: LAC
1997-12-16 | w: GSW | L: DAL
1997-12-17 | w: IND | L: NYK
1997-12-17 | w: BKN | L: DET
1997-12-17 | w: SAS | L: MEM
1997-12-17 | w: MIN | L: PHI
1997-12-17 | w: CHI | L: LAL
1997-12-17 | w: ATL | L: CLE
1997-12-17 | w: BOS | L: TOR
1997-12-17 | w: CHH | L: MIL
1997-12-17 | w: WAS | L: MIA
1997-12-18 | w: PHX | L: DAL
1997-12-18 | w: OKC | L: DEN
1997-12-18 | w: UTA | L: ORL
1997-12-18 | w: LAC | L: GSW
1997-12-19 | w: IND | L: DET
1997-12-19 | w: HOU | L: SAC
1997-12-19 | w: MIA | L: PHI
1997-12-19 | w: POR | L: MEM
1997-12-19 | w: NYK | L: CLE
1997-12-19 | w: TOR | L: MIL
1997-12-19 | w: LAL | L: ATL
1997-12-19 | w: WAS | L: CHH
1997-12-20 | w: CHI | L: BKN
1997-12-20 | w: SAS | L: HOU
1997-12-20 | w: PHX | L: DEN
1997-12-20 | w: SAC | L: DAL
1997-12-20 | w: MIA | L: ATL
1997-12-20 | w: MIL | L: NYK
1997-12-20 | w: OKC | L: GSW
1997-12-20 | w: IND | L: ORL
1997-12-20 | w: DET | L: PHI
1997-12-20 | w: MIN | L: LAC
1997-12-20 | w: WAS | L: TOR
1997-12-20 | w: LAL | L: CHH
1997-12-21 | w: CLE | L: UTA
1997-12-21 | w: MEM | L: POR
1997-12-21 | w: BOS | L: LAC
1997-12-22 | w: LAL | L: HOU
1997-12-22 | w: DET | L: PHI
1997-12-22 | w: NYK | L: DAL
1997-12-22 | w: SAC | L: MIN
1997-12-22 | w: WAS | L: MIL
1997-12-22 | w: BKN | L: ORL
1997-12-22 | w: PHX | L: GSW
1997-12-22 | w: UTA | L: ATL
1997-12-22 | w: CHH | L: TOR
1997-12-23 | w: SAS | L: IND
1997-12-23 | w: CHI | L: LAC
1997-12-23 | w: POR | L: SAC
1997-12-23 | w: MIN | L: OKC
1997-12-23 | w: CLE | L: DAL
1997-12-23 | w: BOS | L: CHH
1997-12-23 | w: GSW | L: DEN
1997-12-25 | w: UTA | L: HOU
1997-12-25 | w: CHI | L: MIA
1997-12-26 | w: IND | L: ORL
1997-12-26 | w: SAS | L: BOS
1997-12-26 | w: GSW | L: DEN
1997-12-26 | w: WAS | L: DAL
1997-12-26 | w: LAL | L: LAC
1997-12-26 | w: MIL | L: ATL
1997-12-26 | w: OKC | L: SAC
1997-12-26 | w: MIN | L: BKN
1997-12-26 | w: MIA | L: DET
1997-12-26 | w: CHH | L: CLE
1997-12-26 | w: PHX | L: MEM
1997-12-27 | w: BKN | L: MIL
1997-12-27 | w: HOU | L: WAS
1997-12-27 | w: POR | L: UTA
1997-12-27 | w: TOR | L: NYK
1997-12-27 | w: CHI | L: ATL
1997-12-27 | w: ORL | L: CHH
1997-12-27 | w: PHI | L: GSW
1997-12-27 | w: LAC | L: DEN
1997-12-28 | w: BOS | L: LAL
1997-12-28 | w: MIA | L: IND
1997-12-28 | w: POR | L: SAS
1997-12-28 | w: SAC | L: PHI
1997-12-28 | w: OKC | L: PHX
1997-12-28 | w: MIN | L: DET
1997-12-28 | w: UTA | L: MEM
1997-12-29 | w: CHH | L: HOU
1997-12-29 | w: BKN | L: WAS
1997-12-29 | w: CHI | L: DAL
1997-12-30 | w: IND | L: BKN
1997-12-30 | w: UTA | L: DEN
1997-12-30 | w: LAL | L: SAC
1997-12-30 | w: POR | L: PHI
1997-12-30 | w: MIL | L: DAL
1997-12-30 | w: NYK | L: ORL
1997-12-30 | w: MIN | L: CHI
1997-12-30 | w: DET | L: TOR
1997-12-30 | w: PHX | L: BOS
1997-12-30 | w: MIA | L: CLE
1997-12-30 | w: SAS | L: MEM
1997-12-30 | w: OKC | L: GSW
1997-12-31 | w: WAS | L: TOR
1998-01-01 | w: PHI | L: MEM
1998-01-02 | w: BKN | L: NYK
1998-01-02 | w: SAS | L: POR
1998-01-02 | w: HOU | L: DEN
1998-01-02 | w: LAL | L: ATL
1998-01-02 | w: CHI | L: MIL
1998-01-02 | w: SAC | L: MEM
1998-01-02 | w: OKC | L: PHI
1998-01-02 | w: PHX | L: DAL
1998-01-02 | w: CLE | L: ORL
1998-01-02 | w: DET | L: TOR
1998-01-02 | w: BOS | L: MIN
1998-01-02 | w: CHH | L: MIA
1998-01-02 | w: LAC | L: GSW
