============ Start of Season ============
1986-02-22 | w: WAS | L: CLE
1986-02-22 | w: UTH | L: PHX
1986-02-22 | w: MIL | L: SAN
1986-02-22 | w: DEN | L: DAL
1986-02-22 | w: CHI | L: OKC
1986-02-23 | w: BOS | L: IND
1986-02-23 | w: LAC | L: NYK
1986-02-23 | w: SAC | L: GOS
1986-02-23 | w: LAL | L: PHL
1986-02-24 | w: ATL | L: LAL
1986-02-24 | w: DET | L: CHI
1986-02-24 | w: WAS | L: BKN
1986-02-24 | w: HOU | L: DAL
1986-02-24 | w: DEN | L: POR
1986-02-24 | w: CLE | L: SAN
1986-02-25 | w: BOS | L: NYK
1986-02-25 | w: SAC | L: OKC
1986-02-25 | w: MIL | L: LAC
1986-02-25 | w: UTH | L: HOU
1986-02-25 | w: DEN | L: PHX
1986-02-25 | w: IND | L: WAS
1986-02-25 | w: GOS | L: BKN
1986-02-25 | w: PHL | L: CHI
1986-02-26 | w: ATL | L: CLE
1986-02-26 | w: BOS | L: SAN
1986-02-26 | w: DET | L: LAC
1986-02-26 | w: PHX | L: POR
1986-02-26 | w: LAL | L: DAL
1986-02-27 | w: WAS | L: GOS
1986-02-27 | w: OKC | L: POR
1986-02-27 | w: HOU | L: DEN
1986-02-27 | w: UTH | L: IND
1986-02-28 | w: LAL | L: PHX
1986-02-28 | w: BOS | L: LAC
1986-02-28 | w: DET | L: ATL
1986-02-28 | w: CHI | L: CLE
1986-02-28 | w: MIL | L: WAS
1986-02-28 | w: SAC | L: IND
1986-02-28 | w: BKN | L: SAN
1986-02-28 | w: PHL | L: DAL
1986-03-01 | w: ATL | L: SAN
1986-03-01 | w: BKN | L: NYK
1986-03-01 | w: PHX | L: LAL
1986-03-01 | w: POR | L: HOU
1986-03-01 | w: UTH | L: SAC
1986-03-01 | w: DAL | L: GOS
1986-03-01 | w: PHL | L: DEN
1986-03-02 | w: BOS | L: DET
1986-03-02 | w: WAS | L: MIL
1986-03-02 | w: IND | L: LAC
1986-03-03 | w: LAL | L: GOS
1986-03-03 | w: OKC | L: HOU
1986-03-03 | w: MIL | L: NYK
1986-03-03 | w: DAL | L: PHX
1986-03-04 | w: NYK | L: WAS
1986-03-04 | w: DET | L: BKN
1986-03-04 | w: BOS | L: CHI
1986-03-04 | w: POR | L: IND
1986-03-04 | w: SAC | L: UTH
1986-03-04 | w: DEN | L: HOU
1986-03-04 | w: LAC | L: CLE
1986-03-04 | w: GOS | L: SAN
