============ Start of Season ============
1958-02-07 | w: DET | L: ATL
1958-02-07 | w: PHI | L: NYK
1958-02-08 | w: NYK | L: LAL
1958-02-08 | w: BOS | L: SAC
1958-02-08 | w: ATL | L: PHI
1958-02-09 | w: GSW | L: ATL
1958-02-09 | w: PHI | L: BOS
1958-02-09 | w: NYK | L: DET
1958-02-09 | w: SAC | L: LAL
1958-02-11 | w: GSW | L: DET
1958-02-11 | w: PHI | L: BOS
1958-02-11 | w: SAC | L: LAL
1958-02-11 | w: ATL | L: NYK
1958-02-12 | w: BOS | L: PHI
1958-02-12 | w: NYK | L: LAL
1958-02-12 | w: ATL | L: DET
1958-02-13 | w: PHI | L: GSW
1958-02-14 | w: DET | L: BOS
1958-02-14 | w: ATL | L: LAL
1958-02-14 | w: NYK | L: SAC
1958-02-15 | w: NYK | L: SAC
1958-02-15 | w: BOS | L: GSW
1958-02-15 | w: LAL | L: DET
1958-02-16 | w: LAL | L: GSW
1958-02-16 | w: PHI | L: SAC
1958-02-16 | w: DET | L: ATL
1958-02-18 | w: BOS | L: NYK
1958-02-18 | w: DET | L: PHI
1958-02-18 | w: ATL | L: LAL
1958-02-19 | w: GSW | L: BOS
1958-02-19 | w: PHI | L: NYK
1958-02-19 | w: DET | L: LAL
1958-02-20 | w: BOS | L: SAC
1958-02-20 | w: GSW | L: PHI
1958-02-21 | w: DET | L: SAC
1958-02-21 | w: ATL | L: BOS
1958-02-21 | w: GSW | L: NYK
1958-02-22 | w: NYK | L: PHI
1958-02-22 | w: LAL | L: SAC
1958-02-22 | w: DET | L: ATL
1958-02-23 | w: BOS | L: GSW
1958-02-23 | w: PHI | L: ATL
1958-02-23 | w: SAC | L: LAL
1958-02-24 | w: GSW | L: LAL
1958-02-25 | w: GSW | L: NYK
1958-02-25 | w: DET | L: ATL
1958-02-26 | w: NYK | L: GSW
1958-02-26 | w: BOS | L: DET
1958-02-26 | w: PHI | L: LAL
1958-02-26 | w: ATL | L: SAC
1958-02-27 | w: GSW | L: PHI
1958-02-27 | w: DET | L: LAL
1958-03-01 | w: DET | L: NYK
1958-03-01 | w: SAC | L: GSW
1958-03-02 | w: LAL | L: GSW
1958-03-02 | w: BOS | L: PHI
1958-03-02 | w: ATL | L: SAC
1958-03-04 | w: NYK | L: BOS
1958-03-04 | w: GSW | L: SAC
1958-03-05 | w: BOS | L: ATL
1958-03-05 | w: PHI | L: NYK
1958-03-06 | w: SAC | L: GSW
1958-03-06 | w: DET | L: LAL
1958-03-07 | w: ATL | L: PHI
1958-03-08 | w: BOS | L: DET
1958-03-08 | w: ATL | L: LAL
1958-03-09 | w: NYK | L: GSW
