============ Start of Season ============
1989-01-19 | w: OKC | L: HOU
1989-01-19 | w: SAC | L: NYK
1989-01-19 | w: CLE | L: IND
1989-01-19 | w: CHI | L: MIA
1989-01-19 | w: PHX | L: CHH
1989-01-20 | w: LAL | L: DAL
1989-01-20 | w: GOS | L: HOU
1989-01-20 | w: DET | L: IND
1989-01-20 | w: UTH | L: MIL
1989-01-20 | w: BOS | L: PHL
1989-01-21 | w: ATL | L: CHH
1989-01-21 | w: OKC | L: NYK
1989-01-21 | w: PHX | L: CHI
1989-01-21 | w: CLE | L: BKN
1989-01-21 | w: GOS | L: SAC
1989-01-21 | w: MIL | L: DEN
1989-01-21 | w: WAS | L: PHL
1989-01-22 | w: BOS | L: DET
1989-01-22 | w: NYK | L: POR
1989-01-23 | w: CLE | L: GOS
1989-01-23 | w: SAN | L: MIA
1989-01-23 | w: IND | L: DEN
1989-01-24 | w: NYK | L: LAL
1989-01-24 | w: ATL | L: CLE
1989-01-24 | w: HOU | L: MIA
1989-01-24 | w: CHI | L: DAL
1989-01-24 | w: PHX | L: CHH
1989-01-24 | w: OKC | L: POR
1989-01-24 | w: MIL | L: SAC
1989-01-24 | w: BKN | L: DEN
1989-01-25 | w: DET | L: GOS
1989-01-25 | w: PHL | L: CHI
1989-01-25 | w: UTH | L: SAN
1989-01-25 | w: IND | L: BOS
1989-01-25 | w: DAL | L: LAC
1989-01-26 | w: WAS | L: IND
1989-01-26 | w: HOU | L: LAC
1989-01-26 | w: MIL | L: POR
1989-01-26 | w: CHH | L: UTH
1989-01-26 | w: SAC | L: BKN
1989-01-26 | w: DEN | L: MIA
1989-01-27 | w: LAL | L: CHH
1989-01-27 | w: BOS | L: SAC
1989-01-27 | w: CLE | L: DET
1989-01-27 | w: OKC | L: ATL
1989-01-27 | w: CHI | L: WAS
1989-01-27 | w: PHX | L: NYK
1989-01-27 | w: DAL | L: SAN
1989-01-27 | w: PHL | L: GOS
1989-01-28 | w: POR | L: ATL
1989-01-28 | w: HOU | L: SAN
1989-01-28 | w: UTH | L: NYK
1989-01-28 | w: DEN | L: PHX
1989-01-28 | w: GOS | L: IND
1989-01-28 | w: MIL | L: LAC
1989-01-28 | w: PHL | L: BKN
1989-01-29 | w: BOS | L: MIA
1989-01-29 | w: DET | L: SAC
1989-01-29 | w: OKC | L: MIL
1989-01-29 | w: LAL | L: DAL
1989-01-29 | w: WAS | L: CLE
1989-01-30 | w: PHX | L: DEN
1989-01-30 | w: POR | L: CHH
1989-01-30 | w: ATL | L: LAC
1989-01-30 | w: GOS | L: MIA
1989-01-31 | w: NYK | L: IND
1989-01-31 | w: WAS | L: BOS
1989-01-31 | w: BKN | L: OKC
1989-01-31 | w: LAL | L: HOU
1989-01-31 | w: MIL | L: SAC
1989-01-31 | w: SAN | L: DEN
1989-01-31 | w: UTH | L: DAL
1989-01-31 | w: DET | L: CHI
1989-01-31 | w: CLE | L: PHL
1989-02-01 | w: PHX | L: LAL
1989-02-01 | w: ATL | L: UTH
1989-02-01 | w: POR | L: LAC
1989-02-01 | w: BOS | L: CHH
1989-02-01 | w: PHL | L: WAS
1989-02-02 | w: GOS | L: BKN
1989-02-02 | w: NYK | L: CLE
1989-02-02 | w: CHI | L: SAC
1989-02-02 | w: DEN | L: ATL
1989-02-02 | w: OKC | L: MIA
1989-02-03 | w: LAL | L: POR
1989-02-03 | w: BOS | L: WAS
1989-02-03 | w: HOU | L: CHI
1989-02-03 | w: CLE | L: SAC
1989-02-03 | w: UTH | L: BKN
1989-02-03 | w: MIL | L: IND
